CD,County,Clinton,Trump,Total,Clinton%,Trump%
,Isanti,"5,657","13,635","20,876",27.10%,65.31%
,Itasca,"9,015","12,920","23,650",38.12%,54.63%
,Kanabec,"2,327","5,230","8,125",28.64%,64.37%
,Koochiching,"2,306","3,569","6,313",36.53%,56.53%
,Lake,"3,077","2,932","6,472",47.54%,45.30%
,Mille Lacs,"3,710","8,340","12,949",28.65%,64.41%
,Morrison,"3,637","12,925","17,534",20.74%,73.71%
,Pine,"4,580","8,191","13,729",33.36%,59.66%
,St. Louis,"57,771","44,630","111,260",51.92%,40.11%
,Wadena,"1,684","4,837","6,894",24.43%,70.16%
8 Total,,"138,665","194,779","359,353",38.59%,54.20%
Grand Total,,"1,367,716","1,322,951","2,917,550",46.88%,45.34%
