CD,County,Clinton,Trump,Total,Clinton%,Trump%
8 Total,,"92,891","194,319","300,787",30.88%,64.60%
9,Brown,"2,518","5,016","7,909",31.84%,63.42%
,Clark,"18,808","30,035","51,147",36.77%,58.72%
,Crawford (pt.),"1,146","2,523","3,889",29.47%,64.88%
,Floyd,"13,945","21,432","37,238",37.45%,57.55%
,Harrison,"4,783","12,943","18,485",25.88%,70.02%
,Jackson,"3,843","12,859","17,534",21.92%,73.34%
,Johnson,"17,318","45,456","66,229",26.15%,68.63%
,Lawrence,"4,210","14,035","19,077",22.07%,73.57%
,Monroe,"34,236","20,600","57,753",59.28%,35.67%
,Morgan (pt.),"3,944","16,026","20,920",18.85%,76.61%
,Orange,"2,048","5,803","8,192",25.00%,70.84%
,Scott (pt.),"1,423","3,180","4,800",29.65%,66.25%
,Washington,"2,636","8,209","11,336",23.25%,72.42%
9 Total,,"110,858","198,117","324,509",34.16%,61.05%
Grand Total,,"1,033,203","1,557,421","2,724,626",37.92%,57.16%
