CD,County,Clinton,Trump,Total,Clinton%,Trump%
,Madison (pt.),"8,694","18,552","29,007",29.97%,63.96%
,Marion,"4,369","11,859","16,940",25.79%,70.01%
,Massac,"1,558","4,846","6,640",23.46%,72.98%
,Moultrie,"1,481","4,455","6,218",23.82%,71.65%
,Pope,375,"1,678","2,133",17.58%,78.67%
,Richland,"1,584","5,739","7,639",20.74%,75.13%
,Saline,"2,572","8,276","11,283",22.80%,73.35%
,Shelby,"2,288","8,229","10,944",20.91%,75.19%
,Vermilion,"10,039","19,087","30,519",32.89%,62.54%
,Wabash,"1,151","4,047","5,415",21.26%,74.74%
,Washington,"1,448","5,571","7,383",19.61%,75.46%
,Wayne,"1,048","6,967","8,261",12.69%,84.34%
,White,"1,412","5,640","7,291",19.37%,77.36%
15 Total,,"78,574","226,605","320,442",24.52%,70.72%
16,Boone,"8,986","12,282","22,666",39.65%,54.19%
,Bureau,"6,029","9,281","16,349",36.88%,56.77%
,DeKalb (pt.),"13,214","10,492","25,639",51.54%,40.92%
,Ford (pt.),797,"2,479","3,506",22.73%,70.71%
,Grundy,"8,065","13,454","22,982",35.09%,58.54%
,Iroquois,"2,504","9,750","12,958",19.32%,75.24%
,LaSalle,"19,543","26,689","49,179",39.74%,54.27%
,Lee,"5,528","8,612","15,262",36.22%,56.43%
,Livingston,"4,023","10,208","15,133",26.58%,67.46%
,Ogle,"8,050","14,352","23,836",33.77%,60.21%
,Putnam,"1,147","1,767","3,085",37.18%,57.28%
,Stark (pt.),161,398,596,26.99%,66.73%
,Will (pt.),"4,351","8,158","13,283",32.76%,61.42%
,Winnebago (pt.),"37,144","45,171","87,513",42.44%,51.62%
16 Total,,"119,542","173,093","311,988",38.32%,55.48%
17,Carroll,"2,447","4,434","7,374",33.18%,60.13%
,Fulton,"6,133","8,492","15,644",39.20%,54.28%
,Henderson,"1,155","2,155","3,487",33.12%,61.80%
,Henry,"8,871","13,985","24,299",36.51%,57.55%
,Jo Daviess,"4,462","6,121","11,199",39.84%,54.66%
,Knox,"10,083","10,737","22,207",45.40%,48.35%
,Mercer,"3,071","4,807","8,435",36.41%,56.99%
,Peoria (pt.),"18,061","9,356","28,999",62.28%,32.26%
,Rock Island,"32,298","26,998","63,044",51.23%,42.82%
,Stephenson,"7,768","11,083","20,037",38.77%,55.31%
,Tazewell (pt.),"7,059","10,505","18,813",37.52%,55.84%
,Warren,"2,987","4,275","7,713",38.73%,55.43%
,Whiteside,"11,035","12,615","25,261",43.68%,49.94%
,Winnebago (pt.),"18,569","10,453","30,591",60.70%,34.17%
17 Total,,"133,999","136,017","287,103",46.67%,47.38%
18,Adams,"7,676","22,790","31,883",24.08%,71.48%
,Brown,476,"1,796","2,359",20.18%,76.13%
,Cass,"1,621","3,216","5,060",32.04%,63.56%
,Hancock,"2,139","6,430","8,981",23.82%,71.60%
,Logan,"3,313","8,181","12,161",27.24%,67.27%
,Marshall,"1,789","3,785","5,918",30.23%,63.96%
,Mason,"2,014","4,058","6,447",31.24%,62.94%
,McDonough,"5,288","6,795","12,928",40.90%,52.56%
,McLean (pt.),"22,933","28,441","55,593",41.25%,51.16%
,Menard,"1,817","4,231","6,433",28.24%,65.77%
,Morgan,"4,696","9,076","14,631",32.10%,62.03%
,Peoria (pt.),"19,999","26,277","49,504",40.40%,53.08%
,Pike,"1,413","5,754","7,464",18.93%,77.09%
,Sangamon (pt.),"19,349","32,420","55,050",35.15%,58.89%
,Schuyler,"1,075","2,524","3,794",28.33%,66.53%
,Scott,535,"1,966","2,591",20.65%,75.88%
,Stark (pt.),590,"1,380","2,115",27.90%,65.26%
,Tazewell (pt.),"13,626","28,202","44,767",30.44%,63.00%
,Woodford,"5,092","13,207","19,455",26.17%,67.88%
18 Total,,"115,442","210,529","347,134",33.26%,60.65%
Grand Total,,"3,090,729","2,146,015","5,523,142",55.96%,38.85%
