CD,County,Clinton,Trump,Total,Clinton%,Trump%
25,Collier (pt.),"29,872","46,919","78,820",37.90%,59.53%
,Hendry,"4,615","6,195","11,115",41.52%,55.74%
,Miami-Dade (pt.),"92,181","78,205","174,419",52.85%,44.84%
25 Total,,"126,668","131,319","264,353",47.92%,49.68%
26,Miami-Dade (pt.),"145,281","95,301","246,747",58.88%,38.62%
,Monroe,"18,971","21,904","42,478",44.66%,51.57%
26 Total,,"164,252","117,205","289,225",56.79%,40.52%
27,Miami-Dade (pt.),"174,132","115,814","297,564",58.52%,38.92%
27 Total,,"174,132","115,814","297,564",58.52%,38.92%
Grand Total,,"4,504,975","4,617,886","9,419,886",47.82%,49.02%
