CD,Town,Clinton,Trump,Total,Clinton%,Trump%
,Orange,"3,834","4,221","8,357",45.88%,50.51%
,Prospect,"1,661","3,701","5,576",29.79%,66.37%
,Seymour,"3,024","4,824","8,192",36.91%,58.89%
,Shelton (pt.),455,557,"1,063",42.80%,52.40%
,Stratford,"13,729","10,534","25,201",54.48%,41.80%
,Wallingford,"10,651","10,940","22,608",47.11%,48.39%
,Waterbury (pt.),"3,183","2,816","6,181",51.50%,45.56%
,West Haven,"12,477","7,774","20,960",59.53%,37.09%
,Woodbridge,"3,333","1,814","5,340",62.42%,33.97%
3 Total,,"179,832","129,968","321,837",55.88%,40.38%
4,Bridgeport,"32,035","6,596","39,549",81.00%,16.68%
,Darien,"5,942","4,625","11,233",52.90%,41.17%
,Easton,"2,203","2,131","4,517",48.77%,47.18%
,Fairfield,"18,041","12,112","31,486",57.30%,38.47%
,Greenwich,"17,630","12,215","31,166",56.57%,39.19%
,Monroe,"4,520","5,922","10,890",41.51%,54.38%
,New Canaan,"5,767","4,541","10,900",52.91%,41.66%
,Norwalk,"24,414","12,324","38,196",63.92%,32.27%
,Oxford,"2,398","4,685","7,325",32.74%,63.96%
,Redding,"3,127","2,088","5,473",57.14%,38.15%
,Ridgefield,"7,907","5,680","14,249",55.49%,39.86%
,Shelton (pt.),"7,546","11,494","19,773",38.16%,58.13%
,Stamford,"34,148","16,222","52,181",65.44%,31.09%
,Trumbull,"9,299","9,753","19,771",47.03%,49.33%
,Weston,"3,807","1,633","5,706",66.72%,28.62%
,Westport,"10,655","4,169","15,420",69.10%,27.04%
,Wilton,"6,055","3,786","10,363",58.43%,36.53%
4 Total,,"195,494","119,976","328,198",59.57%,36.56%
5,Avon,"5,675","4,390","10,567",53.70%,41.54%
,Bethel,"4,777","4,575","9,822",48.64%,46.58%
,Bethlehem,801,"1,405","2,312",34.65%,60.77%
,Bridgewater,518,571,"1,139",45.48%,50.13%
,Brookfield,"4,216","4,973","9,571",44.05%,51.96%
,Burlington,"2,352","2,773","5,382",43.70%,51.52%
,Canaan,357,203,592,60.30%,34.29%
,Canton,"3,100","2,601","5,988",51.77%,43.44%
,Cheshire,"7,572","7,105","15,404",49.16%,46.12%
,Cornwall,622,248,923,67.39%,26.87%
,Danbury,"16,084","11,626","28,838",55.77%,40.31%
,Farmington,"7,634","5,977","14,273",53.49%,41.88%
,Goshen,673,"1,064","1,823",36.92%,58.37%
,Harwinton,"1,131","2,107","3,396",33.30%,62.04%
,Kent,"1,081",559,"1,712",63.14%,32.65%
,Litchfield,"2,171","2,434","4,851",44.75%,50.18%
,Meriden,"12,788","8,660","22,431",57.01%,38.61%
,Middlebury,"1,664","2,630","4,487",37.08%,58.61%
,Morris,510,838,"1,413",36.09%,59.31%
,New Britain,"15,468","6,055","22,310",69.33%,27.14%
,New Fairfield,"3,071","4,302","7,671",40.03%,56.08%
,New Milford,"6,136","6,865","13,648",44.96%,50.30%
,Newtown,"7,448","7,154","15,311",48.64%,46.72%
,Norfolk,547,373,966,56.63%,38.61%
,North Canaan,732,703,"1,509",48.51%,46.59%
,Plainville,"3,802","4,492","8,699",43.71%,51.64%
,Plymouth,"1,884","3,767","5,806",32.45%,64.88%
