CD,County,Clinton,Trump,Total,Clinton%,Trump%
,Tuscola (pt.),"4,973","11,350","17,113",29.06%,66.32%
10 Total,,"113,065","228,171","357,785",31.60%,63.77%
11,Oakland (pt.),"107,366","126,170","245,938",43.66%,51.30%
,Wayne (pt.),"69,777","68,075","144,988",48.13%,46.95%
11 Total,,"177,143","194,245","390,926",45.31%,49.69%
12,Washtenaw (pt.),"101,123","23,950","130,825",77.30%,18.31%
,Wayne (pt.),"104,816","92,791","207,698",50.47%,44.68%
12 Total,,"205,939","116,741","338,523",60.83%,34.49%
13,Wayne (pt.),"209,105","48,111","265,343",78.81%,18.13%
13 Total,,"209,105","48,111","265,343",78.81%,18.13%
14,Oakland (pt.),"116,641","38,163","159,603",73.08%,23.91%
,Wayne (pt.),"135,746","20,016","159,148",85.30%,12.58%
14 Total,,"252,387","58,179","318,751",79.18%,18.25%
Grand Total,,"2,268,838","2,279,543","4,790,328",47.36%,47.59%
