District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Florida's 15th,FL-15,Republican,Laurel,Lee,(LAHR-uhl LEE),/'lɑ.ɹəl li/,2022,1974,Woman,White,Christian - Protestant,No,Open Seat - New district following reapportionment,47.9,51.0,45.7,49.6,41.5,58.5,0,0,,,,,,54.9,22.7,15.4,6.0,2.1,0.2,59.5,21.2,14.2,4.2,0.6,0.1,"$67,704",272,"$71,789",299,31.9 ,217 ,32.1 ,292 ,40.4,234 ,102,"367,849","176,040","187,647","315,971","144,495","156,598","248,054","102,835","145,219",0,0,0,,,,,,,"769,221","392,970","193,574","130,484","48,862","16,345","1,771","599,800","329,426","136,420","92,389","36,096","12,350","1,230","562,870","335,085","119,165","79,940","23,810","3,210",295,"534,025","170,604","302,137","97,133"
Florida's 16th,FL-16,Republican,Vern,Buchanan,(VERN byoo-KAN-uhn),/vɜɹn bju.'kæ.nən/,2006,1951,Man,White,Christian - Protestant - Baptist,No,Re-elected,45.1,54.0,41.5,54.0,37.8,62.1,0,0,,,,,,64.5,18.7,12.0,3.6,1.9,0.2,69.7,15.1,12.0,2.3,0.6,0.1,"$79,125",168,"$81,696",209,33.5 ,188 ,36.1 ,231 ,44.5,188 ,103,"409,050","184,319","220,728","329,495","136,620","178,089","305,695","115,575","189,762",0,0,358,,,,,,,"769,221","460,213","166,150","106,142","30,034","15,045","1,578","607,353","391,827","113,409","72,738","21,880","11,255","1,112","569,985","397,205","86,050","68,490","13,340","3,515",345,"559,272","187,598","376,673","136,162"
Florida's 17th,FL-17,Republican,Greg,Steube,(GREG STOO-bee),/gɹɛg 'stu.bi/,2018,1978,Man,White,Christian - Protestant - Methodist,No,Re-elected,41.6,57.6,39.9,56.4,35.5,63.8,0,0,,,,,,79.1,11.5,5.6,2.0,1.5,0.1,82.8,9.6,5.4,1.5,0.6,0.0,"$70,558",242,"$72,848",287,31.4 ,230 ,33.7 ,268 ,54.9,103 ,104,"450,114","187,427","259,237","381,607","152,179","215,204","348,506","123,798","222,483",0,0,"2,225",,,,,,,"769,221","581,035","105,922","51,707","17,146","12,547","1,005","654,821","517,830","75,570","36,414","13,046","9,842",711,"630,025","521,645","60,675","33,755","9,410","3,475",245,"619,621","194,484","500,237","168,364"
Florida's 18th,FL-18,Republican,Scott,Franklin,(SKAHT FREYNK-luhn),/skɑt 'fɹeɪŋk.lən/,2020,1964,Man,White,Christian - Protestant - Presbyterian,No,Re-elected,38.1,60.9,37.4,58.7,0,74.3,0,0,,,,,,59.8,23.7,13.2,2.0,2.1,0.2,63.7,20.7,13.1,1.5,0.9,0.1,"$57,810",379,"$60,544",410,18.8 ,423 ,21.6 ,421 ,49.9,142 ,105,"349,949","133,424","213,235","298,332","111,543","175,086","225,386",0,"167,429",0,0,"57,957",,,,,,,"769,221","425,396","207,594","112,730","16,114","17,122","1,370","603,562","360,926","142,922","79,749","12,080","12,835",985,"565,935","360,305","117,000","74,300","8,250","4,995",335,"546,831","102,990","332,728","71,709"
Florida's 19th,FL-19,Republican,Byron,Donalds,(BAHY-ruhn DAH-nuhldz),/'baɪ.ɹən 'dɑ.nəldz/,2020,1978,Man,Black,Christian - Protestant,No,Re-elected,39.1,60.2,36.8,60.0,32.0,68.0,0,0,,,,,,74.1,16.2,6.1,2.2,1.3,0.1,78.9,12.9,5.7,1.8,0.4,0.0,"$76,223",188,"$82,900",201,36.3 ,156 ,40.7 ,172 ,46.8,168 ,106,"433,251","169,589","260,674","363,235","133,732","217,952","313,500","100,226","213,035",0,0,239,,,,,,,"769,221","536,453","146,650","57,118","18,828","10,884","1,031","650,465","481,820","105,527","39,481","14,409","8,269",761,"600,925","474,395","77,795","34,235","10,935","2,680",165,"604,573","219,491","455,973","185,404"
Florida's 20th,FL-20,Democratic,Sheila,Cherfilus-McCormick,(SHEE-luh SHER-fuh-luhs muh-KAWR-mik),/'ʃi.lə 'ʃɜɹ.fə.ləs mə.'kɔɹ.mɪk/,2021 Special,1979,Woman,Black - Hatian,Christian - Protestant,No,Re-elected,75.9,23.5,77.4,20.3,72.3,27.7,0,0,,,,,,23.5,23.0,50.1,3.4,1.2,0.2,26.5,20.0,49.8,2.9,0.5,0.0,"$57,237",387,"$70,223",318,24.7 ,344 ,33.6 ,269 ,17.6,378 ,107,"332,578","252,405","78,222","295,344","228,670","59,925","188,366","136,215","52,151",0,0,0,,,,,,,"769,221","158,637","181,082","407,543","25,320","9,240","1,525","595,408","140,153","136,811","298,383","20,078","7,063","1,234","493,830","131,020","98,900","245,760","14,135","2,625",210,"533,925","131,624","128,644","43,168"
Florida's 21st,FL-21,Republican,Brian,Mast,(BRAHY-uhn MAST),/'bɹaɪ.ən mæst/,2016,1980,Man,Hispanic - Mexican,Christian - Evangelical Protestant,No,Re-elected,45.0,54.4,43.2,53.4,36.5,63.5,0,0,,,,,,68.1,15.1,12.5,2.8,1.6,0.2,72.3,13.1,11.8,2.1,0.5,0.0,"$76,355",187,"$81,243",216,34.8 ,173 ,38.2 ,201 ,44.7,184 ,108,"442,839","199,069","240,849","375,896","162,267","200,710","328,505","119,891","208,614",0,0,0,,,,,,,"769,221","491,801","134,691","109,268","23,461","13,057","1,389","629,736","428,764","95,351","78,571","17,612","9,782","1,026","594,430","430,055","78,045","70,105","12,390","3,105",235,"582,996","202,644","406,421","155,392"
Florida's 22nd,FL-22,Democratic,Lois,Frankel,(LOH-is FREYNK-uhl),/'loʊ.ɪs 'fɹeɪŋ.kəl/,2012,1948,Woman,White,Jewish,No,Re-elected,58.5,40.9,58.7,38.5,55.1,44.9,0,0,,,,,,55.3,24.7,15.9,3.3,1.5,0.2,61.3,20.0,15.2,2.7,0.4,0.1,"$73,404",213,"$78,456",232,36.1 ,160 ,44.9 ,129 ,33.8,282 ,109,"393,104","229,942","160,705","337,276","197,860","129,928","272,204","150,010","122,194",0,0,0,,,,,,,"769,220","389,651","209,738","137,952","27,606","13,091","1,253","625,981","346,268","154,325","99,406","20,956","9,491",961,"537,870","329,975","107,815","81,660","14,590","2,190",315,"572,687","206,922","316,301","141,932"
Florida's 23rd,FL-23,Democratic,Jared,Moskowitz,(JAIR-uhd MAH-skuh-wits),/'dʒɛ.ɹəd 'mɑ.skə.wɪts/,2022,1980,Man,White,Jewish,No,Vacant - Resigned early ahead of retirement (Ted Deutsch),56.3,43.1,55.7,41.5,51.6,46.8,0,0,,,,,,58.4,20.5,13.2,4.4,1.1,0.2,64.2,18.7,12.8,3.5,0.5,0.1,"$80,179",162,"$88,506",170,44.0 ,81 ,48.3 ,100 ,33.2,285 ,110,"412,845","232,548","177,952","357,479","198,947","148,254","279,049","143,951","130,681",0,0,"4,417",,,,,,,"769,221","424,407","168,630","113,634","36,743","8,610","1,300","632,647","369,529","129,741","83,294","28,005","6,722",951,"547,370","351,280","102,395","70,075","18,900","2,995",350,"564,807","248,678","337,780","163,120"
Florida's 24th,FL-24,Democratic,Frederica,Wilson,(fred-REE-kuh WIL-suhn),/fɹɛ.'dɹi.kə 'wɪl.sən/,2010,1942,Woman,Black,Christian - Protestant - Episcopalian,No,Re-elected,74.3,25.2,80.6,17.2,71.8,28.2,0,0,,,,,,18.2,38.5,42.2,2.2,0.9,0.1,18.3,34.5,45.2,1.6,0.3,0.0,"$60,388",362,"$92,415",138,29.7 ,258 ,54.4 ,54 ,8.3,425 ,111,"330,498","245,449","83,302","292,327","235,598","50,221","185,891","133,442","52,449",0,0,0,,,,,,,"769,221","135,526","288,794","338,202","16,639","7,147",948,"611,792","111,522","235,273","258,005","13,572","5,601",792,"484,695","88,495","166,980","218,915","7,780","1,475",190,"548,597","163,005","91,419","49,721"
Florida's 25th,FL-25,Democratic,Debbie,Wasserman Schultz,(DEB-ee WAH-ser-muhn SHUHLTS),/'dɛ.bi 'wɑ.səɹ.mən ʃʌlts/,2004,1966,Woman,White,Jewish,No,Re-elected,59.7,39.7,62.7,34.3,55.1,44.9,0,0,,,,,,34.4,42.3,17.5,6.0,1.3,0.2,38.9,38.4,17.4,4.4,0.4,0.1,"$79,024",171,"$83,796",196,39.6 ,116 ,43.3 ,147 ,22.0,356 ,112,"384,550","229,439","152,844","333,580","209,081","114,301","234,352","129,113","105,239",0,0,0,,,,,,,"769,221","250,270","331,599","142,336","48,563","9,998","1,404","607,264","208,608","256,630","106,416","36,550","7,642","1,079","510,855","198,500","196,360","88,945","22,440","2,190",385,"538,787","213,616","189,387","81,953"
Florida's 26th,FL-26,Republican,Mario,Diaz-Balart,(MAHR-ee-oh DEE-az buh-LAHRT) [Rs are trilled when in Spanish],/'mɑ.ɹi.oʊ 'di.æz bə.'lɑɹt/ [/'mɑ.ri.oʊ 'di.æz bə.'lɑrt/ in Spanish],2002,1961,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,40.6,58.9,50.3,46.8,29.1,70.9,0,0,,,,,,19.7,73.2,6.9,1.5,0.9,0.1,24.6,67.9,6.1,1.1,0.2,0.0,"$67,071",284,"$87,077",179,28.3 ,281 ,42.3 ,153 ,14.2,396 ,113,"312,563","126,831","184,088","256,316","128,995","119,866","202,108","58,868","143,240",0,0,0,,,,,,,"769,221","149,228","561,193","56,007","12,322","7,040",639,"623,498","122,723","456,512","43,160","9,479","5,428",468,"457,480","112,605","310,470","27,760","4,965",970,55,"561,448","158,977","108,663","45,973"
Florida's 27th,FL-27,Republican,María Elvira,Salazar,(muh-REE-uh el-VAHY-ruh SAL-uh-zahr) [mah-REE-uh el-VEE-duh sal-uh-SAR with final R trilled in Spanish],/mə.'ɹi.ə ɛl.'vaɪ.ɹə 'sæl.ə.zɑɹ/ [/mɑ.ɹi.ə ɛl.'vi.ɾə ˌsæl.ə.'sɑr/ in Spanish],2020,1961,Woman,Hispanic - Cuban,Christian - Protestant,No,Re-elected,49.6,49.9,56.9,39.7,42.7,57.3,0,0,,,,,,16.9,74.2,7.1,2.6,0.9,0.1,19.6,71.3,6.5,2.1,0.2,0.0,"$75,323",195,"$130,222",19,41.2 ,101 ,65.6 ,21 ,6.7,429 ,114,"359,223","178,067","179,207","308,242","175,488","122,285","237,442","101,404","136,038",0,0,0,,,,,,,"769,221","132,078","566,370","55,568","20,431","6,802",720,"636,002","107,346","471,763","44,946","16,646","5,443",583,"469,615","91,930","334,995","30,590","9,750","1,105",90,"557,117","229,417","86,007","56,379"
Florida's 28th,FL-28,Republican,Carlos,Giménez,(KAHR-lohs hee-MEN-ez),/'kɑɹ.loʊs hi.'mɛ.nɛz/,2020,1954,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,46.5,52.9,56.0,40.5,36.3,63.6,0,0,,,,,,15.2,73.4,10.3,2.2,1.1,0.1,19.3,68.7,9.8,1.6,0.3,0.0,"$73,429",212,"$77,688",241,29.3 ,267 ,37.8 ,208 ,12.0,410 ,115,"342,665","159,454","181,199","283,234","158,628","114,666","211,463","76,665","134,457",0,0,341,,,,,,,"769,221","116,007","559,429","86,320","17,323","9,073",782,"609,131","92,771","446,828","62,852","13,602","6,988",582,"486,420","94,105","334,200","47,785","7,910","1,280",165,"531,932","156,114","85,092","32,207"
Georgia's 1st,GA-01,Republican,Buddy,Carter,(BUH-dee KAHR-ter),/'bʌ.ɾi 'kɑɹ.ɾəɹ/,2014,1957,Man,White,Christian - Protestant - Methodist,No,Re-elected,42.6,56.0,40.4,56.9,40.9,59.1,0,0,,,,,,60.4,6.8,28.2,3.0,2.0,0.3,62.5,4.9,29.6,1.7,0.9,0.1,"$63,376",326,"$74,402",270,27.4 ,300 ,31.0 ,306 ,43.1,200 ,116,"338,574","144,314","189,725","274,027","110,607","155,973","263,965","107,837","156,128",0,0,0,,,,,,,"765,137","440,636","59,328","230,783","23,547","15,972","2,682","589,266","355,947","39,938","166,025","17,615","11,791","1,718","572,230","357,485","28,115","169,440","9,895","4,930",410,"513,957","140,988","318,148","98,661"
Georgia's 2nd,GA-02,Democratic,Sanford,Bishop,(SAN-ferd BISH-uhp),/'sæn.fəɹd 'bɪ.ʃəp/,1992,1947,Man,Black,Christian - Protestant - Baptist,No,Re-elected,54.7,44.4,53.6,44.5,55.0,45.0,0,0,,,,,,42.7,5.1,49.3,1.9,1.5,0.2,43.8,3.6,50.3,1.3,0.9,0.1,"$48,779",425,"$61,875",402,20.8 ,408 ,26.3 ,374 ,32.3,289 ,117,"317,280","173,621","140,787","280,721","150,531","124,987","241,340","132,675","108,665",0,0,0,,,,,,,"765,137","305,611","45,499","393,195","15,236","12,189","1,946","587,555","251,047","30,074","289,612","11,125","9,075","1,286","565,555","247,745","20,335","284,315","7,400","5,335",405,"501,060","104,311","220,640","58,090"
Georgia's 3rd,GA-03,Republican,Drew,Ferguson,(JROO FER-guh-suhn),/dʒɹu 'fɜɹ.gə.sən/,2016,1966,Man,White,Christian - Protestant - Nondenominational,No,Re-elected,34.4,64.4,30.8,66.3,31.3,68.7,0,0,,,,,,66.8,5.3,23.3,2.5,2.1,0.1,69.9,3.9,23.6,1.6,0.8,0.1,"$74,348",201,"$82,757",203,27.8 ,289 ,29.6 ,326 ,49.2,149 ,118,"385,533","132,438","248,375","317,474","97,676","210,579","310,581","97,057","213,524",0,0,0,,,,,,,"765,136","492,494","48,285","188,947","21,220","16,477","1,082","586,319","391,849","31,274","136,708","14,933","12,255",694,"568,975","397,455","21,985","134,285","9,290","4,285",365,"516,270","143,751","355,842","105,309"
Georgia's 4th,GA-04,Democratic,Hank,Johnson,(HEYNK JAHN-suhn),/hæŋk 'dʒɑn.sən/,2006,1954,Man,Black,Buddhist - Soka Gakkai,No,Re-elected,78.3,20.6,74.7,22.4,78.5,21.5,0,0,,,,,,28.3,10.1,54.5,6.7,1.7,0.1,31.7,4.2,59.2,4.0,0.7,0.0,"$73,742",210,"$96,426",109,40.9 ,105 ,60.2 ,32 ,12.6,402 ,119,"355,992","278,793","73,295","298,597","222,980","66,892","275,634","216,332","59,302",0,0,0,,,,,,,"765,135","197,536","88,947","423,763","53,781","13,509","1,106","589,470","166,544","59,670","321,379","39,718","10,031",793,"529,775","167,895","22,510","313,680","21,105","3,560",255,"518,123","212,121","156,962","94,414"
Georgia's 5th,GA-05,Democratic,Nikema,Williams,(ni-KEE-muh WIL-yuhmz),/nɪ.'ki.mə 'wɪl.jəmz/,2020,1978,Woman,Black,Christian - Protestant - Methodist,No,Re-elected,82.6,16.2,80.7,15.9,82.5,17.5,0,0,,,,,,37.9,6.7,49.6,5.4,1.3,0.1,40.5,4.2,50.6,3.8,0.6,0.0,"$80,430",159,"$126,763",27,53.6 ,25 ,79.2 ,4 ,8.4,423 ,120,"369,993","305,738","59,840","310,148","250,154","49,348","295,456","243,687","51,769",0,0,0,,,,,,,"765,137","273,819","56,496","392,822","39,932","10,732","1,096","621,515","235,652","41,432","308,271","33,476","8,361",866,"578,200","234,160","24,475","292,665","21,990","3,505",170,"525,395","281,747","209,761","166,054"
Georgia's 6th,GA-06,Republican,Rich,McCormick,(RICH muh-KAWR-mik),/ɹɪtʃ mə.'kɔɹ.mɪk/,2022,1968,Man,White,Christian - Protestant,No,Open Seat - Ran in GA-07 after redistricting and won (Lucy McBath),41.8,56.7,34.4,61.0,37.8,62.2,0,0,,,,,,66.6,9.1,9.9,12.3,1.8,0.1,75.1,6.2,10.3,7.5,0.5,0.0,"$123,105",19,"$127,453",25,58.4 ,16 ,58.2 ,39 ,31.4,295 ,121,"416,666","174,012","236,094","330,560","113,676","201,677","332,498","125,612","206,886",0,0,0,,,,,,,"765,136","487,400","78,299","78,871","105,113","14,224","1,073","574,797","382,971","52,353","56,969","70,556","10,188",731,"516,190","387,890","32,175","53,255","38,815","2,745",65,"521,183","304,272","355,359","206,682"
Georgia's 7th,GA-07,Democratic,Lucy,McBath,(LOO-see mik-BATH),/'lu.si mɪk.'bæθ/,2018,1960,Woman,Black,Christian - Protestant,No,Multiple: Re-elected (Lucy McBath) and Lost in primary (Carolyn Bourdeaux),62.3,36.5,55.1,41.1,61.1,38.9,0,0,,,,,,32.8,21.3,29.8,15.9,2.1,0.2,40.8,12.0,33.8,12.5,0.5,0.1,"$84,547",133,"$97,422",101,40.8 ,106 ,48.7 ,96 ,20.9,358 ,122,"326,147","203,070","118,944","259,170","142,925","106,635","234,325","143,063","91,262",0,0,0,,,,,,,"765,137","225,905","181,851","239,717","118,444","16,584","1,355","566,934","185,838","120,604","169,071","89,868","11,762",909,"465,320","190,055","55,750","157,060","58,325","2,545",350,"492,657","200,934","176,646","86,103"
Georgia's 8th,GA-08,Republican,Austin,Scott,(AW-stuhn SKAHT),/'ɔ.stən skɑt/,2010,1969,Man,White,Christian - Protestant - Baptist,No,Re-elected,35.7,63.3,33.6,64.3,31.4,68.6,0,0,,,,,,60.5,6.1,30.0,2.0,1.6,0.1,62.7,4.1,30.8,1.4,0.8,0.1,"$55,822",397,"$66,458",367,22.5 ,388 ,26.0 ,380 ,46.4,174 ,123,"330,441","117,889","209,159","279,771","93,873","179,794","260,586","81,886","178,700",0,0,0,,,,,,,"765,136","443,123","54,850","241,628","16,478","12,877","1,268","585,857","354,572","35,732","175,967","11,877","9,554",841,"568,555","356,675","23,575","174,935","7,840","4,325",420,"506,094","113,690","313,706","81,463"
Georgia's 9th,GA-09,Republican,Andrew,Clyde,(AN-jroo KLAHYD),/'æn.dʒɹu klaɪd/,2020,1963,Man,White,Christian - Protestant - Baptist,No,Re-elected,30.4,68.3,25.6,71.1,27.6,72.4,0,0,,,,,,68.3,12.9,10.4,6.5,2.4,0.1,75.2,8.5,10.6,4.6,1.0,0.0,"$76,038",189,"$75,399",261,30.4 ,251 ,31.3 ,305 ,51.7,126 ,124,"370,973","112,848","253,355","290,605","74,464","206,635","294,138","81,318","212,820",0,0,0,,,,,,,"765,137","495,078","117,758","87,130","51,420","18,937","1,007","592,520","404,611","76,361","61,747","38,220","13,976",649,"542,945","408,320","45,950","57,610","25,015","5,190",70,"519,675","157,793","364,140","113,835"
Georgia's 10th,GA-10,Republican,Mike,Collins,(MAHYK KAH-luhnz),/maɪk 'kɑ.lənz/,2022,1967,Man,White,Christian - Protestant - Methodist,No,Open Seat - Ran for secretary of state and lost in primary (Jody Hice),37.7,61.1,34.0,62.9,35.5,64.5,0,0,,,,,,66.2,6.5,22.6,2.8,2.0,0.1,68.8,4.6,23.6,2.0,1.0,0.0,"$73,988",206,"$79,196",226,28.9 ,276 ,31.6 ,302 ,47.0,166 ,125,"378,086","142,395","230,837","300,847","102,371","189,254","307,630","109,107","198,523",0,0,0,,,,,,,"765,135","486,487","58,645","184,137","22,625","15,352","1,122","588,874","389,823","38,336","133,097","16,567","11,556",731,"572,215","393,500","26,445","135,025","11,520","5,840",130,"503,904","145,517","337,377","106,683"
Georgia's 11th,GA-11,Republican,Barry,Loudermilk,(BAIR-ee LOUD-er-milk),/'bɛ.ɹi 'laʊ.ɾəɹ.mɪlk/,2014,1963,Man,White,Christian - Protestant - Baptist,No,Re-elected,41.5,56.8,35.5,60.2,37.4,62.6,0,0,,,,,,64.0,11.2,17.9,4.5,2.3,0.1,70.5,6.6,18.9,3.1,0.8,0.1,"$90,472",96,"$96,932",105,42.1 ,94 ,43.7 ,139 ,39.7,239 ,126,"382,041","158,591","217,159","307,552","109,108","185,196","303,657","113,571","190,086",0,0,0,,,,,,,"765,121","469,264","99,790","143,393","36,268","18,606","1,080","595,191","380,895","66,799","106,805","26,906","13,695",783,"548,650","386,680","35,990","103,815","16,970","4,250",275,"522,844","220,253","346,027","151,090"
Georgia's 12th,GA-12,Republican,Rick,Allen,(RIK AL-uhn),/ɹɪk 'æ.lən/,2014,1951,Man,White,Christian - Protestant - Methodist,No,Re-elected,44.3,54.5,42.2,55.4,40.4,59.6,0,0,,,,,,54.6,4.9,36.7,2.6,1.7,0.2,56.0,3.8,37.5,1.7,0.9,0.0,"$56,189",396,"$64,516",377,23.4 ,373 ,27.3 ,360 ,40.7,227 ,127,"340,948","151,146","185,743","287,771","121,481","159,486","265,195","107,148","158,047",0,0,0,,,,,,,"765,136","398,843","43,065","294,961","20,401","13,325","2,033","588,119","321,394","28,628","215,958","15,023","9,842","1,312","573,585","320,975","21,525","215,005","9,665","5,400",190,"503,596","117,646","280,248","76,548"
Georgia's 13th,GA-13,Democratic,David,Scott,(DEY-vid SKAHT),/'deɪ.vɪd skɑt/,2002,1946,Man,Black,Christian - Protestant - Baptist,No,Re-elected,79.7,19.3,76.2,21.6,81.8,18.2,0,0,,,,,,18.8,10.5,66.7,3.8,1.7,0.1,21.0,6.4,68.6,3.1,0.6,0.1,"$71,993",226,"$70,742",311,30.2 ,252 ,30.3 ,317 ,14.6,391 ,128,"344,049","274,153","66,470","281,922","214,727","60,920","264,616","216,388","48,228",0,0,0,,,,,,,"765,153","125,106","93,558","520,105","28,730","13,406","1,126","574,799","108,160","60,470","383,669","22,024","9,831",768,"531,835","111,505","34,185","364,955","16,255","3,385",295,"498,863","150,510","103,083","31,233"
Georgia's 14th,GA-14,Republican,Marjorie Taylor,Greene,(MAHR-juh-ree TEY-ler GREEN),/'mɑɹ.ʒdə.ɹi 'teɪ.ləɹ gɹin/,2020,1974,Woman,White,Christian - Protestant,No,Re-elected,30.7,68.1,26.9,70.2,34.1,65.9,0,0,,,,,,71.3,10.6,14.3,1.5,2.8,0.1,76.3,7.2,14.5,1.0,0.8,0.1,"$69,169",257,"$70,929",310,22.2 ,393 ,21.5 ,422 ,59.9,65 ,129,"340,992","104,624","232,070","273,208","73,390","191,728","258,351","88,189","170,162",0,0,0,,,,,,,"765,135","520,854","97,086","118,694","12,449","21,851","1,044","579,058","413,030","61,247","82,708","8,676","15,968",647,"552,530","421,500","39,960","79,865","5,565","4,375",325,"514,999","114,174","376,448","81,040"
Hawaii's 1st,HI-01,Democratic,Ed,Case,(ED KEYS),/ɛd keɪs/,"2018, 2002-2006",1952,Man,White,Christian - Protestant,No,Re-elected,63.9,34.5,63.1,30.5,73.7,26.3,0,0,,,,,,16.1,6.6,3.1,68.1,1.9,17.9,17.3,7.7,2.8,55.5,0.6,5.8,"$96,086",71,"$102,733",76,37.9 ,139 ,52.6 ,68 ,8.2,426 ,130,"279,670","178,660","96,350","208,431","131,565","63,534","194,763","143,546","51,217",0,0,0,,,,,,,"726,395","107,302","56,401","26,105","495,204","16,141","153,851","585,659","94,213","38,697","18,240","398,963","10,962","104,993","525,400","90,635","40,645","14,660","291,550","2,975","30,730","521,464","197,886","81,620","42,912"
Hawaii's 2nd,HI-02,Democratic,Jill,Tokuda,(JIL tuh-KOO-duh),/dʒɪl tə.'ku.də/,2022,1976,Woman,Asian - Japanese,Christian - Protestant,No,Open Seat - Ran for governor and lost in primary (Kai Kahele),63.6,34.1,61.4,29.6,62.2,35.3,0,0,,,,,,31.8,9.5,2.4,43.4,3.0,28.0,32.4,10.4,2.1,28.7,1.0,10.8,"$89,314",99,"$90,150",156,31.4 ,231 ,44.1 ,136 ,18.1,377 ,131,"294,799","187,470","100,514","220,506","135,326","65,313","206,411","128,407","72,874",0,0,"5,130",,,,,,,"728,876","207,063","82,522","20,678","328,939","25,387","240,251","570,246","181,411","54,410","13,744","247,592","17,167","159,458","525,335","170,220","54,555","11,195","151,000","5,345","56,970","501,065","157,097","158,710","69,915"
Iowa's 1st,IA-01,Republican,Mariannette,Miller-Meeks,(MAIR-ee-uh-net MIL-er MEEKS),/'mɛ.ɹi.ə.̩nɛt 'mɪ.ləɹ miks/,2020,1955,Woman,White,Christian - Roman Catholic,No,Re-elected,47.6,50.5,44.8,47.9,46.6,53.4,0,0,,,,,,85.8,4.7,4.7,2.7,1.6,0.1,89.5,3.9,3.8,1.9,0.6,0.0,"$67,381",279,"$69,212",329,31.5 ,227 ,31.8 ,301 ,61.1,58 ,160,"426,927","203,400","215,742","396,627","177,850","189,883","305,380","142,173","162,947",0,0,260,,,,,,,"797,584","665,052","44,931","48,473","22,864","13,767","1,222","618,402","530,702","28,937","29,258","16,682","9,848",807,"600,410","537,510","23,700","22,920","11,140","3,850",190,"534,384","168,266","468,074","148,637"
Iowa's 2nd,IA-02,Republican,Ashley,Hinson,(ASH-lee HIN-suhn),/'æʃ.li 'hɪn.sən/,2020,1983,Woman,White,Christian - Protestant - Nondenominational,No,Re-elected,46.9,51.3,44.1,48.7,45.8,54.1,0,0,,,,,,88.4,3.0,4.8,1.8,1.5,0.3,91.9,2.3,3.7,1.3,0.7,0.0,"$67,862",269,"$69,148",331,28.3 ,280 ,28.8 ,336 ,65.5,41 ,161,"433,378","203,246","222,312","408,684","180,282","198,955","318,399","145,940","172,181",0,0,278,,,,,,,"797,589","685,368","29,975","49,037","16,298","13,119","3,145","617,226","545,476","18,656","29,445","11,217","9,006","1,906","603,975","555,110","13,770","22,350","7,610","4,230",225,"538,093","152,408","487,873","140,430"
Iowa's 3rd,IA-03,Republican,Zach,Nunn,(ZAK NUHN),/zæk nʌn/,2022,1979,Man,White,Christian - Roman Catholic,No,Lost in general (Cindy Axne),48.9,49.3,44.8,47.8,49.6,50.3,0,0,,,,,,82.1,6.6,5.2,4.2,1.6,0.2,87.5,4.5,4.5,2.7,0.7,0.0,"$74,960",198,"$78,288",235,35.4 ,164 ,37.1 ,219 ,55.1,98 ,162,"420,101","205,591","207,043","370,224","165,874","177,108","310,913","154,117","156,262",0,0,534,,,,,,,"797,551","628,821","64,482","51,400","37,396","13,449","1,955","600,958","493,314","39,637","30,959","25,010","9,498","1,151","575,220","503,145","25,680","25,830","15,525","3,870",145,"536,008","189,778","452,689","167,776"
