District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Arkansas' 1st,AR-01,Republican,Rick,Crawford,(RIK KRAW-ferd),/ɹɪk 'kɹɔ.fəɹd/,2010,1966,Man,White,Christian - Protestant - Baptist,No,Re-elected,28.1,69.0,30.1,65.0,26.2,73.8,0,0,,,,,,75.8,3.1,16.9,1.0,2.8,0.2,78.8,2.1,16.7,0.5,1.8,0.1,"$50,233",421,"$55,153",430,17.6 ,429 ,19.0 ,433 ,63.8,49 ,18,"286,792","80,516","197,832","274,701","82,710","178,526","208,372","54,598","153,774",0,0,0,,,,,,,"752,509","551,532","29,297","139,921","7,852","21,046","1,895","579,039","438,676","18,103","97,812","5,576","16,066","1,079","571,280","450,000","12,225","95,225","2,985","10,240",305,"516,030","90,709","401,931","76,527"
Arkansas' 2nd,AR-02,Republican,French,Hill,(FRENCH HIL),/fɹɛntʃ hɪl/,2014,1956,Man,White,Christian - Roman Catholic,No,Re-elected,42.1,55.2,39.5,54.5,35.3,60.0,0,0,,,,,,69.1,5.1,20.3,2.3,3.0,0.1,74.1,2.6,20.6,1.4,1.2,0.0,"$60,134",365,"$67,404",355,32.5 ,208 ,34.3 ,259 ,48.6,152 ,19,"333,041","140,254","183,964","306,119","120,843","166,843","246,446","86,887","147,975",0,0,"11,584",,,,,,,"752,710","498,838","46,673","166,319","18,424","23,460","1,008","582,706","402,756","30,008","118,487","13,270","17,665",677,"566,745","419,745","14,635","116,895","8,150","6,525",160,"507,791","165,212","371,436","127,483"
Arkansas' 3rd,AR-03,Republican,Steve,Womack,(STEEV WOH-mak),/stiv 'woʊ.mæk/,2010,1957,Man,White,Christian - Protestant - Baptist,No,Re-elected,36.8,60.2,31.8,60.4,32.9,63.7,0,0,,,,,,71.6,13.9,3.6,4.2,5.6,1.4,81.5,9.1,3.4,2.6,2.9,0.2,"$66,414",291,"$68,692",337,31.1 ,236 ,34.2 ,262 ,53.6,111 ,20,"300,274","110,479","180,794","259,373","82,476","156,678","223,588","73,541","142,401",0,0,"7,646",,,,,,,"753,219","509,829","124,073","31,858","33,269","45,272","13,592","566,367","405,651","78,667","20,163","23,673","31,822","7,661","526,235","428,810","48,120","18,135","13,620","15,225","1,315","491,999","152,931","355,832","121,634"
Arkansas' 4th,AR-04,Republican,Bruce,Westerman,(BROOS WES-ter-muhn),/bɹus 'wɛ.stəɹ.mən/,2014,1967,Man,White,Christian - Protestant - Baptist,No,Re-elected,31.0,66.2,32.5,62.9,26.2,71.0,0,0,,,,,,69.6,6.0,19.8,1.1,3.3,0.1,73.7,3.5,20.4,0.7,1.6,0.1,"$48,035",427,"$51,597",433,18.0 ,426 ,19.7 ,431 ,59.2,68 ,21,"298,962","92,683","198,057","290,299","94,416","182,697","216,696","56,745","153,850",0,0,"6,101",,,,,,,"753,086","503,351","56,804","157,870","9,013","25,836","1,379","584,161","406,689","35,224","115,416","6,220","19,359",876,"569,210","419,295","19,955","116,055","3,845","9,150",340,"516,027","93,127","374,173","73,696"
Arizona's 1st,AZ-01,Republican,David,Schweikert,(DEY-vid SHWAHY-kert),/'deɪ.vɪd 'ʃwaɪ.kəɹt/,2010,1962,Man,White,Christian - Roman Catholic,No,Re-elected,50.1,48.6,44.6,48.8,49.5,50.4,0,0,,,,,,73.6,13.9,4.0,5.5,3.1,0.3,77.3,12.4,4.1,3.7,2.0,0.2,"$91,562",89,"$100,100",85,50.6 ,35 ,54.5 ,53 ,35.2,276 ,9,"462,784","231,887","225,013","371,758","165,645","181,468","362,036","179,141","182,336",0,0,559,,,,,,,"794,611","555,355","129,929","36,781","48,562","27,711","2,877","650,548","479,118","90,167","26,116","35,636","19,976","1,850","604,630","467,105","75,225","24,700","22,580","12,155","1,240","590,785","298,866","441,650","240,671"
Arizona's 2nd,AZ-02,Republican,Eli,Crane,(EE-lahy KREYN),/'i.laɪ kɹeɪn/,2022,1980,Man,White,Christian - Protestant,No,Lost in general (Tom O'Halleran),45.3,53.2,41.1,51.2,46.1,53.8,0,0,,,,,,60.0,14.6,2.7,2.0,20.8,0.3,61.6,14.2,2.6,1.3,19.8,0.2,"$62,015",343,"$67,567",351,25.0 ,338 ,32.0 ,295 ,41.9,217 ,10,"405,633","183,714","215,659","317,058","130,295","162,484","323,884","149,151","174,169",0,0,564,,,,,,,"794,612","439,262","133,934","25,186","16,397","187,042","3,240","628,519","377,323","92,007","17,206","12,333","130,920","2,134","610,355","376,220","86,735","15,820","8,185","121,000","1,130","553,675","138,585","339,933","108,664"
Arizona's 3rd,AZ-03,Democratic,Ruben,Gallego,(ROO-bin gahy-EY-goh),/'ɹu.bɪn gaɪ.'eɪ.goʊ/,2014,1979,Man,Hispanic - Mexican/Colombian,Christian - Roman Catholic,No,Re-elected,74.5,23.9,71.4,21.5,76.9,23.0,0,0,,,,,,23.8,58.2,11.9,3.8,5.1,0.5,29.4,52.3,12.2,2.8,3.0,0.1,"$63,913",321,"$75,788",258,18.0 ,427 ,35.0 ,250 ,19.1,365 ,11,"229,285","170,840","54,754","170,143","121,424","36,498","141,287","108,599","32,475",0,0,213,,,,,,,"794,612","155,477","497,430","99,476","29,025","41,416","4,031","568,035","135,143","330,596","67,446","21,438","29,136","2,605","450,300","132,280","235,340","55,075","12,425","13,610",595,"483,191","87,114","119,419","41,789"
Arizona's 4th,AZ-04,Democratic,Greg,Stanton,(GREG STAN-tuhn),/gɹɛg 'stæn.ʔn/,2018,1970,Man,White,Christian - Roman Catholic,No,Re-elected,54.2,43.9,46.5,44.1,56.0,43.8,0,0,,,,,,59.4,23.1,6.6,7.3,4.3,0.6,65.4,20.0,6.7,4.7,2.7,0.2,"$79,108",169,"$82,961",200,37.2 ,144 ,40.9 ,167 ,38.6,250 ,12,"371,497","201,238","162,975","292,378","136,013","128,842","265,818","148,941","116,521",0,0,356,,,,,,,"794,611","438,281","212,504","59,600","57,732","38,613","5,715","628,965","373,705","145,556","41,594","45,759","27,295","3,757","578,510","378,280","115,490","38,805","27,185","15,560","1,375","540,631","201,230","334,609","136,975"
Arizona's 5th,AZ-05,Republican,Andy,Biggs,(ANN-dee BIGZ),/'æn.di bɪgz/,2016,1958,Man,White,Christian - Mormon,No,Re-elected,41.0,57.4,35.3,56.6,37.4,56.7,0,0,,,,,,70.4,15.4,4.5,7.2,2.6,0.5,73.2,15.3,4.2,5.2,1.5,0.1,"$101,489",51,"$101,704",81,39.7 ,115 ,40.3 ,178 ,43.7,193 ,13,"417,419","171,278","239,646","293,915","103,832","166,365","321,782","120,243","182,464",0,0,"19,075",,,,,,,"794,612","532,842","141,062","41,770","61,660","22,476","4,918","584,092","411,245","89,803","26,563","42,047","14,972","3,028","556,730","407,580","85,190","23,595","29,130","8,625",605,"521,513","206,851","375,042","151,286"
Arizona's 6th,AZ-06,Republican,Juan,Ciscomani,(HWAHN sis-koh-MAHN-ee),/hwɑn ˌsis.ko.'mɑ.ni/,2022,1982,Man,Hispanic - Mexican,Christian - Protestant,No,Open Seat - Retired (Ann Kirkpatrick),49.3,49.2,43.8,49.0,49.2,50.7,0,0,,,,,,67.3,21.3,4.4,4.3,3.2,0.5,68.5,22.0,4.1,3.2,1.7,0.2,"$71,152",236,"$72,256",293,38.1 ,136 ,42.6 ,150 ,39.4,242 ,14,"436,079","214,896","214,580","354,405","155,070","173,737","349,779","171,969","177,201",0,0,609,,,,,,,"794,611","501,707","196,567","41,106","37,198","28,394","4,976","642,434","432,642","136,923","27,963","27,698","20,616","3,508","609,175","417,495","133,965","24,800","19,270","10,595","1,350","564,898","215,046","383,936","163,424"
