district_id,party,cycle,support_oppose,amount
PA-07,D,2024,O,959.0
PA-10,D,2024,O,40000.0
NC-01,D,2024,O,117110.3
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
CA-13,D,2024,S,29675.0
PA-10,D,2024,O,40000.0
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
NC-01,D,2024,O,117110.3
CA-13,D,2024,S,29675.0
WA-03,D,2024,O,90000.0
OH-13,D,2024,S,24200.3
OH-13,D,2024,S,59999.99
WA-03,D,2024,O,90000.0
OH-13,D,2024,S,24200.3
OH-13,D,2024,S,59999.99
OH-09,D,2024,O,25.0
OH-09,D,2024,O,3514.1
OH-09,D,2024,S,14880.0
OH-09,D,2024,S,25.0
NE-02,D,2024,O,14795.0
CO-08,D,2024,S,15000.0
CO-08,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,3000.0
CA-13,D,2024,S,15000.0
OH-09,D,2024,S,25.0
NE-02,D,2024,O,14795.0
CA-13,D,2024,S,25.0
CO-08,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,3000.0
OH-09,D,2024,S,14880.0
OH-09,D,2024,O,25.0
OH-09,D,2024,O,3514.1
CO-08,D,2024,S,15000.0
CA-13,D,2024,S,15000.0
OR-05,D,2024,O,15148.0
IA-03,D,2024,O,4589.0
IA-01,D,2024,O,3872.0
IA-03,D,2024,O,4589.0
IA-01,D,2024,O,3872.0
OR-05,D,2024,O,15148.0
TX-34,D,2024,S,48747.5
TX-34,D,2024,S,18747.6
PA-07,D,2024,O,4120.8
PA-07,D,2024,O,34252.0
PA-07,D,2024,O,85037.65
OH-13,D,2024,O,15938.0
OH-13,D,2024,O,43999.99
OH-09,D,2024,O,21760.0
OH-09,D,2024,O,271972.0
OH-09,D,2024,O,31749.04
OH-09,D,2024,O,93414.22
NY-18,D,2024,O,9622.85
NY-18,D,2024,O,32172.0
NY-04,D,2024,O,31506.93
NY-04,D,2024,S,43030.0
NE-02,D,2024,O,333200.0
NE-02,D,2024,S,4250.0
NC-01,D,2024,O,14424.0
NC-01,D,2024,O,61000.0
IA-03,D,2024,O,201960.0
IA-01,D,2024,O,472260.0
CT-05,D,2024,O,37500.0
CA-45,D,2024,O,119150.67
CA-45,D,2024,O,40000.0
CA-45,D,2024,O,1075080.0
CA-45,D,2024,S,35240.35
CA-22,D,2024,S,108459.5
CA-22,D,2024,S,66802.0
CA-13,D,2024,O,10489.0
AZ-01,D,2024,O,25740.0
AZ-01,D,2024,O,159827.32
AK-00,D,2024,O,115000.0
AK-00,D,2024,O,377485.0
OR-05,D,2024,O,150000.0
IA-03,D,2024,O,100000.0
IA-01,D,2024,O,140000.0
AZ-01,D,2024,O,1000000.0
CA-45,D,2024,O,10000.0
CA-45,D,2024,O,10000.0
CA-45,D,2024,O,119150.67
AK-00,D,2024,O,115000.0
CA-45,D,2024,S,35240.35
TX-34,D,2024,S,48747.5
TX-34,D,2024,S,18747.6
PA-07,D,2024,O,4120.8
NY-18,D,2024,O,9622.85
CA-13,D,2024,O,10489.0
PA-07,D,2024,O,34252.0
NY-18,D,2024,O,32172.0
NY-04,D,2024,S,43030.0
CT-05,D,2024,O,37500.0
CA-45,D,2024,O,40000.0
CA-22,D,2024,S,108459.5
PA-07,D,2024,O,959.0
PA-10,D,2024,O,40000.0
NC-01,D,2024,O,117110.3
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
CA-13,D,2024,S,29675.0
PA-10,D,2024,O,40000.0
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
NC-01,D,2024,O,117110.3
CA-13,D,2024,S,29675.0
WA-03,D,2024,O,90000.0
OH-13,D,2024,S,24200.3
OH-13,D,2024,S,59999.99
WA-03,D,2024,O,90000.0
OH-13,D,2024,S,24200.3
OH-13,D,2024,S,59999.99
OH-09,D,2024,O,25.0
OH-09,D,2024,O,3514.1
OH-09,D,2024,S,14880.0
OH-09,D,2024,S,25.0
NE-02,D,2024,O,14795.0
CO-08,D,2024,S,15000.0
CO-08,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,3000.0
CA-13,D,2024,S,15000.0
OH-09,D,2024,S,25.0
NE-02,D,2024,O,14795.0
CA-13,D,2024,S,25.0
CO-08,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,3000.0
OH-09,D,2024,S,14880.0
OH-09,D,2024,O,25.0
OH-09,D,2024,O,3514.1
CO-08,D,2024,S,15000.0
CA-13,D,2024,S,15000.0
OR-05,D,2024,O,15148.0
IA-03,D,2024,O,4589.0
IA-01,D,2024,O,3872.0
IA-03,D,2024,O,4589.0
IA-01,D,2024,O,3872.0
OR-05,D,2024,O,15148.0
TX-34,D,2024,S,48747.5
TX-34,D,2024,S,18747.6
PA-07,D,2024,O,4120.8
PA-07,D,2024,O,34252.0
PA-07,D,2024,O,85037.65
OH-13,D,2024,O,15938.0
OH-13,D,2024,O,43999.99
OH-09,D,2024,O,21760.0
OH-09,D,2024,O,271972.0
OH-09,D,2024,O,31749.04
OH-09,D,2024,O,93414.22
NY-18,D,2024,O,9622.85
NY-18,D,2024,O,32172.0
NY-04,D,2024,O,31506.93
NY-04,D,2024,S,43030.0
NE-02,D,2024,O,333200.0
NE-02,D,2024,S,4250.0
NC-01,D,2024,O,14424.0
NC-01,D,2024,O,61000.0
IA-03,D,2024,O,201960.0
IA-01,D,2024,O,472260.0
CT-05,D,2024,O,37500.0
CA-45,D,2024,O,119150.67
CA-45,D,2024,O,40000.0
CA-45,D,2024,O,1075080.0
CA-45,D,2024,S,35240.35
CA-22,D,2024,S,108459.5
CA-22,D,2024,S,66802.0
CA-13,D,2024,O,10489.0
AZ-01,D,2024,O,25740.0
AZ-01,D,2024,O,159827.32
AK-00,D,2024,O,115000.0
AK-00,D,2024,O,377485.0
OR-05,D,2024,O,150000.0
IA-03,D,2024,O,100000.0
IA-01,D,2024,O,140000.0
AZ-01,D,2024,O,1000000.0
CA-45,D,2024,O,10000.0
CA-45,D,2024,O,10000.0
CA-45,D,2024,O,119150.67
AK-00,D,2024,O,115000.0
CA-45,D,2024,S,35240.35
TX-34,D,2024,S,48747.5
TX-34,D,2024,S,18747.6
PA-07,D,2024,O,4120.8
NY-18,D,2024,O,9622.85
CA-13,D,2024,O,10489.0
PA-07,D,2024,O,34252.0
NY-18,D,2024,O,32172.0
NY-04,D,2024,S,43030.0
CT-05,D,2024,O,37500.0
CA-45,D,2024,O,40000.0
CA-22,D,2024,S,108459.5
PA-07,D,2024,O,959.0
PA-10,D,2024,O,40000.0
NC-01,D,2024,O,117110.3
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
CA-13,D,2024,S,29675.0
PA-10,D,2024,O,40000.0
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
NC-01,D,2024,O,117110.3
CA-13,D,2024,S,29675.0
WA-03,D,2024,O,90000.0
OH-13,D,2024,S,24200.3
OH-13,D,2024,S,59999.99
WA-03,D,2024,O,90000.0
OH-13,D,2024,S,24200.3
OH-13,D,2024,S,59999.99
OH-09,D,2024,O,25.0
OH-09,D,2024,O,3514.1
OH-09,D,2024,S,14880.0
OH-09,D,2024,S,25.0
NE-02,D,2024,O,14795.0
CO-08,D,2024,S,15000.0
CO-08,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,3000.0
CA-13,D,2024,S,15000.0
OH-09,D,2024,S,25.0
NE-02,D,2024,O,14795.0
CA-13,D,2024,S,25.0
CO-08,D,2024,S,25.0
CA-13,D,2024,S,25.0
CA-13,D,2024,S,3000.0
OH-09,D,2024,S,14880.0
OH-09,D,2024,O,25.0
OH-09,D,2024,O,3514.1
CO-08,D,2024,S,15000.0
CA-13,D,2024,S,15000.0
OR-05,D,2024,O,15148.0
IA-03,D,2024,O,4589.0
IA-01,D,2024,O,3872.0
IA-03,D,2024,O,4589.0
IA-01,D,2024,O,3872.0
OR-05,D,2024,O,15148.0
TX-34,D,2024,S,48747.5
TX-34,D,2024,S,18747.6
PA-07,D,2024,O,4120.8
PA-07,D,2024,O,34252.0
PA-07,D,2024,O,85037.65
OH-13,D,2024,O,15938.0
OH-13,D,2024,O,43999.99
OH-09,D,2024,O,21760.0
OH-09,D,2024,O,271972.0
OH-09,D,2024,O,31749.04
OH-09,D,2024,O,93414.22
NY-18,D,2024,O,9622.85
NY-18,D,2024,O,32172.0
NY-04,D,2024,O,31506.93
NY-04,D,2024,S,43030.0
NE-02,D,2024,O,333200.0
NE-02,D,2024,S,4250.0
NC-01,D,2024,O,14424.0
NC-01,D,2024,O,61000.0
IA-03,D,2024,O,201960.0
IA-01,D,2024,O,472260.0
CT-05,D,2024,O,37500.0
CA-45,D,2024,O,119150.67
CA-45,D,2024,O,40000.0
CA-45,D,2024,O,1075080.0
CA-45,D,2024,S,35240.35
CA-22,D,2024,S,108459.5
CA-22,D,2024,S,66802.0
CA-13,D,2024,O,10489.0
AZ-01,D,2024,O,25740.0
AZ-01,D,2024,O,159827.32
AK-00,D,2024,O,115000.0
AK-00,D,2024,O,377485.0
OR-05,D,2024,O,150000.0
IA-03,D,2024,O,100000.0
IA-01,D,2024,O,140000.0
AZ-01,D,2024,O,1000000.0
CA-45,D,2024,O,10000.0
CA-45,D,2024,O,10000.0
CA-45,D,2024,O,119150.67
AK-00,D,2024,O,115000.0
CA-45,D,2024,S,35240.35
TX-34,D,2024,S,48747.5
TX-34,D,2024,S,18747.6
PA-07,D,2024,O,4120.8
NY-18,D,2024,O,9622.85
CA-13,D,2024,O,10489.0
PA-07,D,2024,O,34252.0
NY-18,D,2024,O,32172.0
NY-04,D,2024,S,43030.0
CT-05,D,2024,O,37500.0
CA-45,D,2024,O,40000.0
CA-22,D,2024,S,108459.5
PA-07,D,2024,O,959.0
PA-10,D,2024,O,40000.0
NC-01,D,2024,O,117110.3
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
CA-13,D,2024,S,29675.0
PA-10,D,2024,O,40000.0
MD-06,D,2024,O,15000.0
MD-06,D,2024,O,110000.0
CA-13,D,2024,S,33655.0
NC-01,D,2024,O,117110.3
CA-13,D,2024,S,29675.0
