district_id,party,cycle,support_oppose,amount
TX-28,D,2022,O,696.0
NM-02,D,2022,O,848.0
WA-08,D,2022,O,50000.0
PA-17,D,2022,O,40000.0
IL-17,D,2022,S,40000.0
PA-17,D,2022,O,40000.0
WA-08,D,2022,O,50000.0
IL-17,D,2022,S,40000.0
NM-02,D,2022,O,848.0
TX-28,D,2022,O,696.0
TX-28,D,2022,O,300000.0
TX-28,D,2022,O,50000.0
PA-08,D,2022,O,275000.0
PA-08,D,2022,O,30000.0
PA-07,D,2022,O,30000.0
PA-07,D,2022,S,20000.0
OR-04,D,2022,O,25000.0
OH-13,D,2022,O,25000.0
OH-13,D,2022,O,17000.0
OH-13,D,2022,S,15000.0
NY-22,D,2022,O,75000.0
NY-19,D,2022,O,25000.0
NY-17,D,2022,O,100000.0
NV-04,D,2022,O,40000.0
NV-03,D,2022,O,30000.0
NV-01,D,2022,O,30000.0
NM-02,D,2022,O,20000.0
NM-02,D,2022,O,140000.0
NM-02,D,2022,O,30000.0
NE-02,D,2022,O,15000.0
NE-02,D,2022,O,10000.0
MI-03,D,2022,O,25000.0
MI-03,D,2022,O,25000.0
IN-01,D,2022,O,25000.0
CO-08,D,2022,O,50000.0
CO-08,D,2022,S,25000.0
CA-22,D,2022,S,50000.0
RI-02,D,2022,O,10504.15
RI-02,D,2022,O,10504.15
PA-07,D,2022,S,20000.0
TX-28,D,2022,O,50000.0
TX-28,D,2022,O,300000.0
NM-02,D,2022,O,20000.0
NM-02,D,2022,O,140000.0
CO-08,D,2022,S,25000.0
CA-22,D,2022,S,50000.0
NY-19,D,2022,O,25000.0
NM-02,D,2022,O,30000.0
NE-02,D,2022,O,15000.0
NE-02,D,2022,O,10000.0
IN-01,D,2022,O,25000.0
CO-08,D,2022,O,50000.0
NY-17,D,2022,O,100000.0
PA-08,D,2022,O,30000.0
PA-07,D,2022,O,30000.0
OR-04,D,2022,O,25000.0
OH-13,D,2022,O,25000.0
OH-13,D,2022,O,17000.0
OH-13,D,2022,S,15000.0
MI-03,D,2022,O,25000.0
MI-03,D,2022,O,25000.0
NV-04,D,2022,O,40000.0
NV-03,D,2022,O,30000.0
NV-01,D,2022,O,30000.0
PA-08,D,2022,O,275000.0
NY-22,D,2022,O,75000.0
RI-02,D,2022,O,4327.89
NE-02,D,2022,O,9000.0
CT-05,D,2022,S,14989.86
RI-02,D,2022,O,4327.89
NE-02,D,2022,O,9000.0
CT-05,D,2022,S,14989.86
RI-02,D,2022,O,493850.0
RI-02,D,2022,O,75000.0
NM-02,D,2022,O,594983.11
NE-02,D,2022,O,75000.0
CA-49,D,2022,O,235279.0
PA-17,D,2022,O,7117.0
NY-17,D,2022,O,12517.0
NY-04,D,2022,O,21000.0
NV-04,D,2022,S,3199.99
NM-02,D,2022,O,594983.11
NY-17,D,2022,O,12517.0
NV-04,D,2022,S,3199.99
NE-02,D,2022,O,75000.0
RI-02,D,2022,O,75000.0
NY-04,D,2022,O,21000.0
PA-17,D,2022,O,7117.0
NV-03,D,2022,O,873354.0
RI-02,D,2022,O,493850.0
CA-49,D,2022,O,235279.0
PA-08,D,2022,O,400000.0
NY-17,D,2022,O,100000.0
NY-04,D,2022,O,50000.0
NV-04,D,2022,S,164993.5
CT-05,D,2022,S,10998.56
CT-05,D,2022,S,24000.0
CT-05,D,2022,S,103594.0
CA-49,D,2022,O,33000.0
CA-49,D,2022,S,29962.5
