district_id,party,cycle,coordinated_expenditures
AL-02,D,2024,3480
AZ-02,D,2024,3000
CA-03,D,2024,253
CO-03,D,2024,6000
CO-04,D,2024,6153
CO-05,D,2024,2334
CO-08,D,2024,2500
CT-02,D,2024,5000
FL-06,D,2024,5000
FL-09,D,2024,1000
FL-25,D,2024,1000
IL-09,D,2024,2000
IL-17,D,2024,2500
KS-03,D,2024,4750
MD-08,D,2024,232
MN-01,D,2024,5000
MN-02,D,2024,550
MN-03,D,2024,300
MN-04,D,2024,100
MN-05,D,2024,7700
NE-01,D,2024,8556
NY-01,D,2024,8500
NY-13,D,2024,8500
NY-22,D,2024,8500
NY-25,D,2024,8500
OK-04,D,2024,636
OK-05,D,2024,318
PA-01,D,2024,1000
PA-05,D,2024,1166
PA-06,D,2024,2000
PA-10,D,2024,14373
PA-14,D,2024,2586
TN-07,D,2024,5000
TX-18,D,2024,4500
TX-30,D,2024,444
TX-31,D,2024,2000
TX-32,D,2024,6000
TX-33,D,2024,11500
WA-07,D,2024,175
