district_id,party,cycle,coordinated_expenditures
AK-00,D,2024,190000
AL-02,D,2024,95000
AZ-01,D,2024,95000
AZ-06,D,2024,94896
CA-13,D,2024,95000
CA-22,D,2024,95052
CA-27,D,2024,95000
CA-41,D,2024,95000
CA-45,D,2024,95000
CA-47,D,2024,95000
CA-49,D,2024,95000
CO-08,D,2024,95000
CT-05,D,2024,95000
IA-01,D,2024,95000
IA-03,D,2024,95000
IL-17,D,2024,95000
IN-01,D,2024,95000
ME-02,D,2024,95000
MI-03,D,2024,95000
MI-07,D,2024,95000
MI-08,D,2024,95000
MI-10,D,2024,95000
MN-02,D,2024,95000
MT-01,D,2024,95000
NC-01,D,2024,95000
NE-02,D,2024,95000
NH-01,D,2024,95000
NJ-07,D,2024,99000
NM-02,D,2024,95000
NV-01,D,2024,95000
NV-03,D,2024,95000
NV-04,D,2024,97120
NY-03,D,2024,190000
NY-04,D,2024,95000
NY-17,D,2024,95000
NY-18,D,2024,95000
NY-19,D,2024,95000
NY-22,D,2024,95000
OH-01,D,2024,95000
OH-09,D,2024,95000
OH-13,D,2024,95000
OR-04,D,2024,102500
OR-05,D,2024,110000
OR-06,D,2024,95000
PA-07,D,2024,98265
PA-08,D,2024,95000
PA-10,D,2024,95000
PA-17,D,2024,100284
TX-34,D,2024,95000
VA-02,D,2024,95000
VA-07,D,2024,95000
WA-03,D,2024,95000
WI-01,D,2024,95000
WI-03,D,2024,95000
