district_id,party,cycle,fec_candidate_id,committee_id,coverage_start_date,coverage_end_date,receipts_period,disbursements_period,cash_on_hand_end_period,report_type_full,beginning_image_number
WI-01,R,2016,H8WI01024,C00330894,2016-11-29T00:00:00,2016-12-31T00:00:00,122481.67,377964.61,9098872.77,YEAR-END,201701169041393561
WI-01,R,2016,H8WI01024,C00330894,2016-10-20T00:00:00,2016-11-28T00:00:00,755069.36,933495.41,9354355.71,POST-GENERAL,201612069037646357
WI-01,R,2016,H8WI01024,C00330894,2016-10-01T00:00:00,2016-10-19T00:00:00,1098813.54,1498967.02,9532781.76,PRE-GENERAL,201610259034561108
WI-01,R,2016,H8WI01024,C00330894,2016-10-01T00:00:00,2016-10-19T00:00:00,1098813.54,1498967.02,9532781.76,PRE-GENERAL,201703209050892451
WI-01,R,2016,H8WI01024,C00330894,2016-07-21T00:00:00,2016-09-30T00:00:00,2982528.99,2610798.89,9932935.24,OCTOBER QUARTERLY,201611239037224260
WI-01,R,2016,H8WI01024,C00330894,2016-07-21T00:00:00,2016-09-30T00:00:00,2982528.99,2610798.89,9932935.24,OCTOBER QUARTERLY,201610139032411728
WI-01,R,2016,H8WI01024,C00330894,2016-07-01T00:00:00,2016-07-20T00:00:00,202704.7,393002.26,9561205.14,PRE-PRIMARY,201607239021935176
WI-01,R,2016,H8WI01024,C00330894,2016-04-01T00:00:00,2016-06-30T00:00:00,5498351.09,3429929.86,9751502.7,JULY QUARTERLY,201607139020432468
WI-01,R,2016,H8WI01024,C00330894,2016-04-01T00:00:00,2016-06-30T00:00:00,5498351.09,3429929.86,9751502.7,JULY QUARTERLY,201806129113663845
WI-01,R,2016,H8WI01024,C00330894,2016-01-01T00:00:00,2016-03-31T00:00:00,4641768.54,2267361.83,7683081.47,APRIL QUARTERLY,201604189012583849
WI-01,R,2016,H8WI01024,C00330894,2016-01-01T00:00:00,2016-03-31T00:00:00,4640468.54,2266061.83,7683081.47,APRIL QUARTERLY,201604139012312781
WI-01,R,2016,H8WI01024,C00330894,2015-10-01T00:00:00,2015-12-31T00:00:00,1795874.77,1034094.28,5308674.76,YEAR-END,201601269004599796
WI-01,R,2016,H8WI01024,C00330894,2015-07-01T00:00:00,2015-09-30T00:00:00,680517.5,235636.79,4546894.27,OCTOBER QUARTERLY,201510089002822814
WI-01,R,2016,H8WI01024,C00330894,2015-04-01T00:00:00,2015-06-30T00:00:00,1237621.51,366206.52,4102013.56,JULY QUARTERLY,201507169000239852
WI-01,R,2016,H8WI01024,C00330894,2015-04-01T00:00:00,2015-06-30T00:00:00,1237621.51,366206.52,4102013.56,JULY QUARTERLY,201507099000071250
WI-01,R,2016,H8WI01024,C00330894,2015-01-01T00:00:00,2015-03-31T00:00:00,836489.08,286211.37,3230598.57,APRIL QUARTERLY,15970331381
FL-18,D,2016,H6FL18147,C00592261,2016-11-29T00:00:00,2016-12-31T00:00:00,12534.29,17381.14,10253.77,YEAR-END,201701239041444600
FL-18,D,2016,H6FL18147,C00592261,2016-10-20T00:00:00,2016-11-28T00:00:00,2300100.0,2518439.95,15100.62,POST-GENERAL,201612089037767956
FL-18,D,2016,H6FL18147,C00592261,2016-10-01T00:00:00,2016-10-19T00:00:00,2044849.79,2088784.84,233440.57,PRE-GENERAL,201610279036724142
FL-18,D,2016,H6FL18147,C00592261,2016-08-11T00:00:00,2016-09-30T00:00:00,2785141.21,3250800.36,277375.62,OCTOBER QUARTERLY,201610159032638689
FL-18,D,2016,H6FL18147,C00592261,2016-07-01T00:00:00,2016-08-10T00:00:00,0.0,1413533.69,743034.77,PRE-PRIMARY,201608189022527461
FL-18,D,2016,H6FL18147,C00592261,2016-04-01T00:00:00,2016-06-30T00:00:00,1019468.82,1031648.83,2156568.46,JULY QUARTERLY,201607159020603732
FL-18,D,2016,H6FL18147,C00592261,2016-01-01T00:00:00,2016-03-31T00:00:00,1283506.33,480252.05,2168748.47,APRIL QUARTERLY,201604159012559176
FL-18,D,2016,H6FL18147,C00592261,2015-10-01T00:00:00,2015-12-31T00:00:00,1427641.74,62147.55,1365494.19,YEAR-END,201601299004763957
CA-23,R,2016,H6CA22125,C00420935,2016-11-29T00:00:00,2016-12-31T00:00:00,65500.59,303688.79,1517819.17,YEAR-END,201701319042270886
CA-23,R,2016,H6CA22125,C00420935,2016-10-20T00:00:00,2016-11-28T00:00:00,229080.97,348268.24,1756007.37,POST-GENERAL,201612089040215382
CA-23,R,2016,H6CA22125,C00420935,2016-10-01T00:00:00,2016-10-19T00:00:00,254855.75,170171.17,1875194.64,PRE-GENERAL,201610279036688323
CA-23,R,2016,H6CA22125,C00420935,2016-07-01T00:00:00,2016-09-30T00:00:00,518042.04,1575509.83,1790510.06,OCTOBER QUARTERLY,201610149032522294
CA-23,R,2016,H6CA22125,C00420935,2016-05-19T00:00:00,2016-06-30T00:00:00,361610.15,884024.76,2847977.85,JULY QUARTERLY,201607159020598100
CA-23,R,2016,H6CA22125,C00420935,2016-04-01T00:00:00,2016-05-18T00:00:00,545059.86,1141052.43,3370392.46,PRE-PRIMARY,201607159020596209
CA-23,R,2016,H6CA22125,C00420935,2016-04-01T00:00:00,2016-05-18T00:00:00,545611.16,1141603.73,3370392.46,PRE-PRIMARY,201605269017306698
CA-23,R,2016,H6CA22125,C00420935,2016-01-01T00:00:00,2016-03-31T00:00:00,1036380.44,999125.88,3966385.03,APRIL QUARTERLY,201604159012533942
CA-23,R,2016,H6CA22125,C00420935,2015-10-01T00:00:00,2015-12-31T00:00:00,958532.82,1043564.19,3929130.47,YEAR-END,201601299004918220
CA-23,R,2016,H6CA22125,C00420935,2015-10-01T00:00:00,2015-12-31T00:00:00,958532.82,1043564.19,3929130.47,YEAR-END,201604159012521220
CA-23,R,2016,H6CA22125,C00420935,2015-07-01T00:00:00,2015-09-30T00:00:00,1328848.24,657698.44,4014161.84,OCTOBER QUARTERLY,201512189004353992
CA-23,R,2016,H6CA22125,C00420935,2015-07-01T00:00:00,2015-09-30T00:00:00,1328848.24,657698.44,4014161.84,OCTOBER QUARTERLY,201510159002923201
CA-23,R,2016,H6CA22125,C00420935,2015-04-01T00:00:00,2015-06-30T00:00:00,1451639.2,570506.83,3343012.04,JULY QUARTERLY,201507159000186286
CA-23,R,2016,H6CA22125,C00420935,2015-04-01T00:00:00,2015-06-30T00:00:00,1451639.2,570506.83,3343012.04,JULY QUARTERLY,201510159002921776
