district_id,party,cycle,fec_candidate_id,committee_id,coverage_start_date,coverage_end_date,receipts_period,disbursements_period,cash_on_hand_end_period,report_type_full,beginning_image_number
CA-47,D,2022,H8CA45130,C00636571,2022-11-29T00:00:00,2022-12-31T00:00:00,275674.5,562828.7,7434958.86,YEAR-END,202301319575669968
CA-47,D,2022,H8CA45130,C00636571,2022-10-20T00:00:00,2022-11-28T00:00:00,2744192.6,3898449.23,7722113.06,POST-GENERAL,202304159580906867
CA-47,D,2022,H8CA45130,C00636571,2022-10-20T00:00:00,2022-11-28T00:00:00,2738755.88,3893012.51,7722113.06,POST-GENERAL,202212089547829400
CA-47,D,2022,H8CA45130,C00636571,2022-10-01T00:00:00,2022-10-19T00:00:00,1252674.94,8138874.24,8876369.69,PRE-GENERAL,202210279541887860
CA-47,D,2022,H8CA45130,C00636571,2022-07-01T00:00:00,2022-09-30T00:00:00,4543679.32,8641893.26,15762568.99,OCTOBER QUARTERLY,202210159533173050
CA-47,D,2022,H8CA45130,C00636571,2022-05-19T00:00:00,2022-06-30T00:00:00,2010009.59,850447.2,19860782.93,JULY QUARTERLY,202207159518726642
CA-47,D,2022,H8CA45130,C00636571,2022-04-01T00:00:00,2022-05-18T00:00:00,1817328.38,914028.79,18701220.54,PRE-PRIMARY,202205269514409144
CA-47,D,2022,H8CA45130,C00636571,2022-04-01T00:00:00,2022-05-18T00:00:00,1817653.08,914353.49,18701220.54,PRE-PRIMARY,202207159518717452
CA-47,D,2022,H8CA45130,C00636571,2022-01-01T00:00:00,2022-03-31T00:00:00,3194832.15,1521818.88,17797920.95,APRIL QUARTERLY,202204159496342615
CA-47,D,2022,H8CA45130,C00636571,2021-10-01T00:00:00,2021-12-31T00:00:00,2582077.44,994117.15,16124907.68,YEAR-END,202201319485545410
CA-47,D,2022,H8CA45130,C00636571,2021-07-01T00:00:00,2021-09-30T00:00:00,2722422.87,1045205.98,14536947.39,OCTOBER QUARTERLY,202201319485494314
CA-47,D,2022,H8CA45130,C00636571,2021-07-01T00:00:00,2021-09-30T00:00:00,2722422.87,1045205.98,14536947.39,OCTOBER QUARTERLY,202110159467485615
CA-47,D,2022,H8CA45130,C00636571,2021-04-01T00:00:00,2021-06-30T00:00:00,2737604.49,1403734.63,12859730.5,JULY QUARTERLY,202107159451571832
CA-47,D,2022,H8CA45130,C00636571,2021-04-01T00:00:00,2021-06-30T00:00:00,2737604.49,1403734.63,12859730.5,JULY QUARTERLY,202110159467468199
CA-47,D,2022,H8CA45130,C00636571,2021-01-01T00:00:00,2021-03-31T00:00:00,2150226.89,892118.69,11525860.64,APRIL QUARTERLY,202110159467461378
CA-47,D,2022,H8CA45130,C00636571,2021-01-01T00:00:00,2021-03-31T00:00:00,2150226.89,892118.69,11525860.64,APRIL QUARTERLY,202104159443373607
