district_id,fec_candidate_id,candidate_name,party,cycle,candidate_disbursements,incumbent_challenge_full,ttl_receipts,ttl_indiv_contrib,indiv_share
AK-00,H4AK00123,"DUNBAR, FORREST",D,2016,7563.97,Challenger,550.0,0.0,0.0
AK-00,H0AK00097,"COX, JOHN R.",R,2016,0.0,Challenger,0.0,0.0,0.0
AK-00,H6AK00045,"YOUNG, DONALD E",R,2016,1322055.12,Incumbent,1103561.86,640393.04,0.5802964593212745
AK-00,H8AK00116,"LEDOUX, GABRIELLE R",R,2016,0.0,Challenger,0.0,0.0,0.0
,H6AK00235,"LINDBECK, STEVE",D,2016,1098098.09,Open seat,1102309.77,999400.98,0.9066425855955172
AL-01,H4AL01123,"BYRNE, BRADLEY ROBERTS",R,2016,1172750.28,Incumbent,1367469.77,491117.77,0.35914342004064925
AL-01,H4AL01149,"FINCHER, CHAD",R,2016,0.0,Challenger,0.0,0.0,0.0
AL-01,H6AL01060,"YOUNG JR, LARRY DEAN",R,2016,178474.16,Challenger,178766.88,19766.88,0.11057350220577772
AL-02,H6AL02167,"MATHIS, NATHAN",D,2016,36844.0,Challenger,36844.0,0.0,0.0
AL-02,H0AL02087,"ROBY, MARTHA",R,2016,1850535.64,Incumbent,1404260.12,574878.88,0.40938204525811067
AL-02,H6AL02142,"GERRITSON, REBECCA (BECKY)",R,2016,206908.19,Challenger,206908.19,180871.8,0.8741645267884272
AL-02,H6AL02159,"ROGERS, ROBERT L",R,2016,32492.0,Challenger,25382.0,0.0,0.0
AL-02,H8AL02080,"LOVE, JAY K",R,2016,0.0,Open seat,0.0,0.0,0.0
AL-02,H4AL02071,"WRIGHT, ERICK",IND,2016,0.0,Challenger,0.0,0.0,0.0
AL-03,H4AL03061,"SMITH, JESSE TREMAIN",D,2016,7348.0,Challenger,9810.0,9810.0,1.0
AL-03,H8AL03039,"TURNHAM, JOSEPH R",D,2016,0.0,Challenger,0.0,0.0,0.0
AL-03,H2AL03032,"ROGERS, MICHAEL DENNIS",R,2016,1071289.42,Incumbent,1139022.37,459627.0,0.40352763220971677
AL-03,H6AL03157,"DICHIARA, LARRY",R,2016,67148.66,Challenger,64791.68,17718.04,0.27346165433586533
AL-04,H6AL04098,"ADERHOLT, ROBERT BROWN",R,2016,1394461.23,Incumbent,1441035.62,484207.65,0.33601365801075755
AL-04,H6AL04148,"NORRIS, PHILLIP",R,2016,3605.76,Challenger,3605.76,105.0,0.02912007454739084
AL-05,H0AL05049,"CRAMER, ROBERT E ""BUD"" JR",D,2016,261029.18,Open seat,25967.41,0.0,0.0
AL-05,H6AL05038,"FLIPPO, RONNIE GENE",D,2016,0.0,Challenger,-35771.0,0.0,-0.0
AL-05,H6AL05202,"BOYD, WILLIE ""WILL"" DR. JR.",D,2016,61251.11,Challenger,61311.93,35546.75,0.5797688965263367
AL-05,H0AL05163,"BROOKS, MO",R,2016,119723.76,Incumbent,476225.18,211307.0,0.4437123631303998
AL-05,H4AL05082,"BRAY, MARK",IND,2016,2408.89,Challenger,2.31,0.0,0.0
AL-06,H6AL06127,"PUTMAN, DAVID",D,2016,197378.52,Challenger,197378.52,8019.0,0.040627521170996723
AL-06,H0AL06088,"COOKE, STANLEY KYLE",R,2016,0.0,Challenger,0.0,0.0,0.0
AL-06,H2AL06035,"BACHUS, SPENCER REP.",R,2016,8723.17,Challenger,2444.41,0.0,0.0
AL-06,H2AL06126,"BEASON, JASON SCOTT",R,2016,3045.13,Open seat,0.0,0.0,0.0
AL-06,H4AL06098,"PALMER, GARY",R,2016,769978.37,Incumbent,1232446.2,931340.52,0.7556845239978833
AL-07,H0AL07086,"SEWELL, TERRYCINA ANDREA",D,2016,1087017.93,Incumbent,1630079.97,363610.21,0.22306280470399253
AL-07,H0AL07094,"HILLIARD, EARL FREDERICK JR",D,2016,0.0,Open seat,0.0,0.0,0.0
AR-01,H0AR01109,"CAUSEY, CHAD",D,2016,875.0,Open seat,500.0,500.0,1.0
AR-01,H4AR01051,"MCPHERSON, JACKIE",D,2016,13177.62,Challenger,8157.69,0.0,0.0
AR-01,H0AR01083,"CRAWFORD, ERIC ALAN RICK",R,2016,808955.49,Incumbent,669501.96,261228.63,0.3901835179093427
AR-01,H0AR01125,"SMITH, PRINCELLA D",R,2016,0.0,Open seat,0.0,0.0,0.0
