district_id,cycle,incumb_status,incumbent_name,challenger_name
AK-00,2022,Incumbent,"PELTOLA, MARY","PALIN, SARAH"
AL-01,2022,Open,,"AVERHART, JAMES"
AL-02,2022,Challenger,"MOORE, FELIX BARRY","HARVEY-HALL, PHYLLIS"
AL-03,2022,Challenger,"ROGERS, MICHAEL","VEASEY, KAREN LIN MRS"
AL-04,2022,Challenger,"ADERHOLT, ROBERT B. REP.","NEIGHBORS, RICKY"
AL-05,2022,Open,,"WARNER-STANTON, KATHY L"
AL-06,2022,Open,,
AL-07,2022,Incumbent,"SEWELL, TERRI A.","NICHOLS, BEATRICE JACKSON"
AR-01,2022,Challenger,"CRAWFORD, ERIC ALAN RICK","HODGES, MONTE"
AR-02,2022,Challenger,"HILL, JAMES FRENCH","ELLIOTT, JOYCE ANN SENATOR"
AR-03,2022,Challenger,"WOMACK, STEVE","HAYS, LAUREN"
AR-04,2022,Challenger,"COTTON, THOMAS","HANSON, WILLIAM MR."
AS-00,2022,Open,,
AZ-01,2022,Challenger,"NORTON, ELIJAH","HODGE, JEVIN D"
AZ-02,2022,Incumbent,"O'HALLERAN, TOM","CRANE, ELI"
AZ-03,2022,Incumbent,"GALLEGO, RUBEN","POZZOLO, LUIS B"
AZ-04,2022,Incumbent,"STANTON, GREG","COOPER, KELLY"
AZ-05,2022,Challenger,"BIGGS, ANDY MR.","GREENE, JOAN"
AZ-06,2022,Challenger,"CISCOMANI, JUAN","ENGEL, KIRSTEN"
AZ-07,2022,Incumbent,"GRIJALVA, RAUL M","BECKER, NINA"
AZ-08,2022,Challenger,"LESKO, DEBBIE","MUSCATO, MICHAEL ARCHANGEL"
AZ-09,2022,Incumbent,"SINEMA, KYRSTEN","GOSAR, PAUL DR."
CA-00,2022,Open,,
CA-01,2022,Challenger,"LAMALFA, DOUG","STEINER, MAX"
CA-02,2022,Incumbent,"HUFFMAN, JARED","COULOMBE, CHRIS MR"
CA-03,2022,Challenger,"KILEY, KEVIN","JONES, KERMIT"
CA-04,2022,Incumbent,"THOMPSON, MIKE MR.","BROCK, MATTHEW"
CA-05,2022,Challenger,"MCCLINTOCK, THOMAS","BARKLEY, MICHAEL JAMES MR."
CA-06,2022,Incumbent,"BERA, AMERISH","HAMILTON, TAMIKA"
CA-07,2022,Incumbent,"MATSUI, DORIS","SEMENENKO, MAX"
CA-08,2022,Incumbent,"GARAMENDI, JOHN","RECILE, RUDY"
CA-09,2022,Open,,"HARDER, JOSH"
CA-10,2022,Incumbent,"DESAULNIER, MARK","GILL, RANJIT"
CA-11,2022,Incumbent,"PELOSI, NANCY","DENNIS, JOHN MR."
CA-12,2022,Incumbent,"LEE, BARBARA","LORRAINE, DEANNA"
CA-13,2022,Challenger,"GIGLIO, DAVID ANTHONY","GRAY, ADAM C."
CA-14,2022,Incumbent,"SWALWELL, ERIC MICHAEL","WONG, THOMAS"
CA-15,2022,Open,,"MULLIN, KEVIN"
CA-16,2022,Incumbent,"ESHOO, ANNA G.","BROWN, NATHAN K"
CA-17,2022,Incumbent,"KHANNA, ROHIT","TANDON, RITESH"
CA-18,2022,Incumbent,"LOFGREN, ZOE","HERNANDEZ, PETER"
CA-19,2022,Incumbent,"PANETTA, JIMMY","GORMAN, JEFF"
CA-20,2022,Challenger,"MCCARTHY, KEVIN","WOOD, MARISA"
CA-21,2022,Incumbent,"COSTA, JIM","MATHYS, CHRIS"
CA-22,2022,Challenger,"NUNES, DEVIN G.","SALAS, RUDY"
CA-23,2022,Challenger,"OBERNOLTE, JAY","MARSHALL, DEREK"
CA-24,2022,Incumbent,"CARBAJAL, SALUD O.","GALLEGLY, ELTON"
CA-25,2022,Incumbent,"RUIZ, RAUL DR.","HAWKINS, BRIAN"
CA-26,2022,Incumbent,"BROWNLEY, JULIA","JACOBS, MATTHEW"
CA-27,2022,Challenger,"GARCIA, MICHAEL","SMITH, CHRISTY"
CA-28,2022,Incumbent,"CHU, JUDY","EARLY, ERIC"
CA-29,2022,Incumbent,"CARDENAS, TONY","CARRANZA, MARGARITA MARIA MMC MMC"
CA-30,2022,Incumbent,"SCHIFF, ADAM","KENNEDY, RONDA"
CA-31,2022,Incumbent,"NAPOLITANO, GRACE","MILLER, GARY G"
CA-32,2022,Incumbent,"SHERMAN, BRAD","VOLOTZKY, LUCIE LAPOINTE"
CA-33,2022,Incumbent,"AGUILAR, PETE","LIEW, SARAH SUN DR."
CA-34,2022,Incumbent,"GOMEZ, JIMMY",
CA-35,2022,Challenger,"CARGILE, MIKE","TORRES, NORMA"
CA-36,2022,Incumbent,"LIEU, TED","COLLINS, JOE E III"
CA-37,2022,Incumbent,"BASS, KAREN","WEBBER, ERROL MR."
CA-38,2022,Incumbent,"SANCHEZ, LINDA","CHING, ERIC J"
CA-39,2022,Incumbent,"TAKANO, MARK","SPINNEY, BILL"
CA-40,2022,Challenger,"KIM, YOUNG","MAHMOOD, ASIF DR."
CA-41,2022,Challenger,"CALVERT, KEN","ROLLINS, WILL"
CA-42,2022,Challenger,"BRISCOE, JOHN","GARCIA, ROBERT"
CA-43,2022,Incumbent,"WATERS, MAXINE","NAVARRO, OMAR"
CA-44,2022,Incumbent,"BARRAGAN, NANETTE",
CA-45,2022,Challenger,"STEEL, MICHELLE","CHEN, JAY"
CA-46,2022,Incumbent,"CORREA, LOU","GONZALES, CHRISTOPHER"
CA-47,2022,Incumbent,"PORTER, KATHERINE","BURLEY, BRIAN J MR."
CA-48,2022,Challenger,"ISSA, DARRELL","ROUDA, HARLEY E JR"
CA-49,2022,Incumbent,"LEVIN, MIKE","MARYOTT, BRIAN L MR"
