district_id,party,cycle,coordinated_expenditures
AZ-08,R,2018,92000
CA-21,R,2018,94905
CA-25,R,2018,95000
CA-39,R,2018,97000
CA-45,R,2018,95000
CA-48,R,2018,95000
CA-49,R,2018,95000
CO-06,R,2018,95000
FL-15,R,2018,90000
FL-18,R,2018,95000
FL-26,R,2018,93078
FL-27,R,2018,95000
GA-06,R,2018,185750
IA-01,R,2018,95000
IA-03,R,2018,91999
IL-06,R,2018,95000
IL-14,R,2018,91196
KS-02,R,2018,95000
KS-03,R,2018,95000
KS-04,R,2018,97400
KY-06,R,2018,88000
ME-02,R,2018,95000
MN-01,R,2018,94950
MN-02,R,2018,95000
MN-03,R,2018,96000
MN-08,R,2018,94888
MT-00,R,2018,130000
NC-02,R,2018,95000
NC-09,R,2018,95000
NC-13,R,2018,95000
NE-02,R,2018,95000
NJ-03,R,2018,95000
NJ-11,R,2018,95066
NM-02,R,2018,95000
NY-11,R,2018,95000
NY-19,R,2018,95034
NY-22,R,2018,92150
NY-24,R,2018,97000
OH-01,R,2018,94700
OH-12,R,2018,179400
PA-03,R,2018,95000
PA-08,R,2018,164413
PA-18,R,2018,54994
SC-05,R,2018,97000
TX-07,R,2018,95000
TX-32,R,2018,94387
UT-04,R,2018,95000
VA-02,R,2018,95000
VA-05,R,2018,95000
VA-10,R,2018,95000
WA-03,R,2018,95000
WA-08,R,2018,95927
WI-06,R,2018,95000
WV-03,R,2018,91215
