district_id,cvap
TX-32,460015
TX-33,391830
TX-34,432320
TX-35,514320
TX-36,517770
TX-37,553995
TX-38,498595
UT-01,568910
UT-02,551920
UT-03,561625
UT-04,522070
VT-00,516775
VA-01,588100
VA-02,588455
VA-03,585685
VA-04,602490
VA-05,621795
VA-06,600970
VA-07,542665
VA-08,526215
VA-09,630900
VA-10,508820
VA-11,526160
WA-01,505020
WA-02,574695
WA-03,569280
WA-04,476245
WA-05,590070
WA-06,602595
WA-07,576520
WA-08,532020
WA-09,503745
WA-10,558505
WV-01,708005
WV-02,713320
WI-01,550065
WI-02,558245
WI-03,575120
WI-04,511785
WI-05,571855
WI-06,571265
WI-07,575060
WI-08,559685
WY-00,434425
