district_id,cvap,vintage_end_year,is_post_redistricting
AL-01,534355,2018,False
AL-02,516040,2018,False
AL-03,538125,2018,False
AL-04,511065,2018,False
AL-05,540510,2018,False
AL-06,519890,2018,False
AL-07,511120,2018,False
AK-00,530385,2018,False
AZ-01,549355,2018,False
AZ-02,539385,2018,False
AZ-03,475510,2018,False
AZ-04,587615,2018,False
AZ-05,557495,2018,False
AZ-06,565540,2018,False
AZ-07,416820,2018,False
AZ-08,576755,2018,False
AZ-09,544290,2018,False
AR-01,546405,2018,False
AR-02,563785,2018,False
AR-03,550215,2018,False
AR-04,535460,2018,False
CA-01,545540,2018,False
CA-02,526770,2018,False
CA-03,497300,2018,False
CA-04,555490,2018,False
CA-05,508535,2018,False
CA-06,490565,2018,False
CA-07,526910,2018,False
CA-08,476415,2018,False
CA-09,472835,2018,False
CA-10,467770,2018,False
CA-11,497585,2018,False
CA-12,565460,2018,False
CA-13,518345,2018,False
CA-14,499150,2018,False
CA-15,483610,2018,False
CA-16,402445,2018,False
CA-17,438345,2018,False
CA-18,481625,2018,False
CA-19,473610,2018,False
CA-20,429820,2018,False
CA-21,350035,2018,False
CA-22,470490,2018,False
CA-23,485640,2018,False
CA-24,505765,2018,False
CA-25,476030,2018,False
CA-26,468925,2018,False
CA-27,482730,2018,False
CA-28,501365,2018,False
CA-29,398510,2018,False
CA-30,524890,2018,False
CA-31,471085,2018,False
CA-32,450000,2018,False
CA-33,524125,2018,False
CA-34,385030,2018,False
CA-35,429875,2018,False
CA-36,488390,2018,False
CA-37,463815,2018,False
CA-38,468910,2018,False
CA-39,483900,2018,False
CA-40,327105,2018,False
CA-41,456205,2018,False
CA-42,517570,2018,False
CA-43,437170,2018,False
CA-44,388040,2018,False
CA-45,517975,2018,False
CA-46,378525,2018,False
CA-47,475460,2018,False
CA-48,525035,2018,False
CA-49,514955,2018,False
CA-50,500270,2018,False
CA-51,417975,2018,False
CA-52,547075,2018,False
CA-53,541635,2018,False
CO-01,585845,2018,False
CO-02,610705,2018,False
CO-03,551795,2018,False
CO-04,558105,2018,False
CO-05,578995,2018,False
CO-06,538735,2018,False
CO-07,555150,2018,False
CT-01,519205,2018,False
CT-02,549035,2018,False
CT-03,532825,2018,False
CT-04,484035,2018,False
CT-05,515880,2018,False
DE-00,704110,2018,False
DC-98,511190,2018,False
FL-01,579890,2018,False
FL-02,559345,2018,False
FL-03,555840,2018,False
FL-04,587140,2018,False
FL-05,536290,2018,False
FL-06,596695,2018,False
FL-07,567730,2018,False
FL-08,582790,2018,False
FL-09,575460,2018,False
FL-10,527540,2018,False
FL-11,619225,2018,False
FL-12,583295,2018,False
FL-13,567935,2018,False
FL-14,529480,2018,False
FL-15,556295,2018,False
FL-16,597650,2018,False
FL-17,587955,2018,False
FL-18,570700,2018,False
FL-19,592475,2018,False
FL-20,482355,2018,False
FL-21,530095,2018,False
FL-22,526185,2018,False
FL-23,505920,2018,False
FL-24,454085,2018,False
FL-25,434835,2018,False
FL-26,467185,2018,False
FL-27,449720,2018,False
GA-01,537000,2018,False
GA-02,500425,2018,False
GA-03,532685,2018,False
GA-04,500105,2018,False
GA-05,565670,2018,False
GA-06,480080,2018,False
GA-07,473990,2018,False
GA-08,517905,2018,False
GA-09,528555,2018,False
GA-10,547705,2018,False
GA-11,526835,2018,False
GA-12,531860,2018,False
GA-13,508990,2018,False
GA-14,502895,2018,False
HI-01,507265,2018,False
HI-02,509290,2018,False
ID-01,628835,2018,False
ID-02,563905,2018,False
IL-01,522125,2018,False
IL-02,509750,2018,False
IL-03,477695,2018,False
IL-04,380590,2018,False
IL-05,538570,2018,False
IL-06,518630,2018,False
IL-07,522275,2018,False
IL-08,448180,2018,False
IL-09,505675,2018,False
IL-10,462775,2018,False
IL-11,467645,2018,False
IL-12,533605,2018,False
IL-13,540955,2018,False
IL-14,518415,2018,False
IL-15,534530,2018,False
IL-16,522665,2018,False
IL-17,514980,2018,False
IL-18,536130,2018,False
IN-01,532400,2018,False
IN-02,521070,2018,False
IN-03,532785,2018,False
IN-04,551425,2018,False
IN-05,561065,2018,False
IN-06,546735,2018,False
IN-07,513115,2018,False
IN-08,549705,2018,False
IN-09,567925,2018,False
IA-01,579430,2018,False
IA-02,580155,2018,False
IA-03,589475,2018,False
IA-04,563610,2018,False
KS-01,503440,2018,False
KS-02,537830,2018,False
KS-03,523040,2018,False
KS-04,513255,2018,False
KY-01,548105,2018,False
KY-02,564800,2018,False
KY-03,551675,2018,False
KY-04,560085,2018,False
KY-05,543735,2018,False
KY-06,569800,2018,False
LA-01,588030,2018,False
LA-02,584180,2018,False
LA-03,574080,2018,False
LA-04,560940,2018,False
LA-05,561945,2018,False
LA-06,583595,2018,False
ME-01,538715,2018,False
ME-02,520830,2018,False
MD-01,558900,2018,False
MD-02,546280,2018,False
MD-03,546550,2018,False
MD-04,495550,2018,False
MD-05,550090,2018,False
MD-06,521985,2018,False
MD-07,532105,2018,False
MD-08,510925,2018,False
MA-01,560125,2018,False
MA-02,558600,2018,False
MA-03,535920,2018,False
MA-04,551135,2018,False
MA-05,524540,2018,False
MA-06,567995,2018,False
MA-07,533335,2018,False
MA-08,562450,2018,False
MA-09,570585,2018,False
MI-01,562350,2018,False
MI-02,538155,2018,False
MI-03,538605,2018,False
MI-04,549245,2018,False
MI-05,522910,2018,False
MI-06,536350,2018,False
MI-07,542745,2018,False
MI-08,547280,2018,False
MI-09,546065,2018,False
MI-10,546835,2018,False
MI-11,527360,2018,False
MI-12,525005,2018,False
MI-13,486640,2018,False
MI-14,503125,2018,False
MN-01,494575,2018,False
MN-02,499925,2018,False
MN-03,506585,2018,False
MN-04,501575,2018,False
MN-05,508320,2018,False
MN-06,510170,2018,False
MN-07,496635,2018,False
MN-08,519505,2018,False
MS-01,568155,2018,False
MS-02,526320,2018,False
MS-03,561985,2018,False
MS-04,572200,2018,False
MO-01,546925,2018,False
MO-02,577375,2018,False
MO-03,590935,2018,False
MO-04,580530,2018,False
MO-05,564145,2018,False
MO-06,576230,2018,False
MO-07,582595,2018,False
MO-08,567255,2018,False
MT-00,804265,2018,False
NE-01,463385,2018,False
NE-02,454280,2018,False
NE-03,441115,2018,False
NV-01,408975,2018,False
NV-02,508235,2018,False
NV-03,563430,2018,False
NV-04,493015,2018,False
NH-01,528005,2018,False
NH-02,520195,2018,False
NJ-01,536815,2018,False
NJ-02,532200,2018,False
NJ-03,563945,2018,False
NJ-04,525460,2018,False
NJ-05,530545,2018,False
NJ-06,488750,2018,False
NJ-07,522280,2018,False
NJ-08,422615,2018,False
NJ-09,474650,2018,False
NJ-10,488240,2018,False
NJ-11,539110,2018,False
NJ-12,493010,2018,False
NM-01,504125,2018,False
NM-02,476940,2018,False
NM-03,504425,2018,False
NY-01,528705,2018,False
NY-02,506315,2018,False
NY-03,524035,2018,False
NY-04,502775,2018,False
NY-05,499845,2018,False
NY-06,447820,2018,False
NY-07,439895,2018,False
NY-08,524680,2018,False
NY-09,474025,2018,False
NY-10,484550,2018,False
NY-11,498885,2018,False
NY-12,541940,2018,False
NY-13,481435,2018,False
NY-14,398535,2018,False
NY-15,398955,2018,False
NY-16,496410,2018,False
NY-17,483325,2018,False
NY-18,522240,2018,False
NY-19,551700,2018,False
NY-20,557280,2018,False
NY-21,551735,2018,False
NY-22,542325,2018,False
NY-23,543450,2018,False
NY-24,540730,2018,False
NY-25,541685,2018,False
NY-26,541250,2018,False
NY-27,562160,2018,False
NC-01,557210,2018,False
NC-02,575760,2018,False
NC-03,574030,2018,False
NC-04,586765,2018,False
NC-05,563565,2018,False
NC-06,557590,2018,False
NC-07,590445,2018,False
NC-08,565030,2018,False
NC-09,553975,2018,False
NC-10,573690,2018,False
NC-11,588025,2018,False
NC-12,561865,2018,False
NC-13,565225,2018,False
ND-00,562630,2018,False
