district_id,cvap,vintage_end_year,is_post_redistricting
AL-01,559435,2024,True
AL-02,535317,2024,True
AL-03,557824,2024,True
AL-04,541900,2024,True
AL-05,562997,2024,True
AL-06,538677,2024,True
AL-07,549542,2024,True
AK-00,538819,2024,True
AZ-01,621060,2024,True
AZ-02,634783,2024,True
AZ-03,469125,2024,True
AZ-04,588045,2024,True
AZ-05,598436,2024,True
AZ-06,634660,2024,True
AZ-07,545383,2024,True
AZ-08,599046,2024,True
AZ-09,633570,2024,True
AR-01,568995,2024,True
AR-02,569348,2024,True
AR-03,543233,2024,True
AR-04,564359,2024,True
CA-01,549210,2024,True
CA-02,561558,2024,True
CA-03,586925,2024,True
CA-04,547811,2024,True
CA-05,568844,2024,True
CA-06,515798,2024,True
CA-07,532699,2024,True
CA-08,499121,2024,True
CA-09,488193,2024,True
CA-10,523893,2024,True
CA-11,540277,2024,True
CA-12,521634,2024,True
CA-13,435676,2024,True
CA-14,466994,2024,True
CA-15,488942,2024,True
CA-16,482251,2024,True
CA-17,424567,2024,True
CA-18,413397,2024,True
CA-19,539212,2024,True
CA-20,536073,2024,True
CA-21,447353,2024,True
CA-22,416025,2024,True
CA-23,512155,2024,True
CA-24,535987,2024,True
CA-25,489167,2024,True
CA-26,508145,2024,True
CA-27,498076,2024,True
CA-28,518358,2024,True
CA-29,442451,2024,True
CA-30,547308,2024,True
CA-31,479974,2024,True
CA-32,544038,2024,True
CA-33,480086,2024,True
CA-34,430006,2024,True
CA-35,478475,2024,True
CA-36,548664,2024,True
CA-37,436502,2024,True
CA-38,507465,2024,True
CA-39,488503,2024,True
CA-40,537617,2024,True
CA-41,565700,2024,True
CA-42,452292,2024,True
CA-43,429912,2024,True
CA-44,466688,2024,True
CA-45,504519,2024,True
CA-46,440665,2024,True
CA-47,532799,2024,True
CA-48,538093,2024,True
CA-49,543010,2024,True
CA-50,555944,2024,True
CA-51,546226,2024,True
CA-52,487509,2024,True
CO-01,542544,2024,True
CO-02,567513,2024,True
CO-03,558955,2024,True
CO-04,556346,2024,True
CO-05,544138,2024,True
CO-06,505163,2024,True
CO-07,574969,2024,True
CO-08,505548,2024,True
CT-01,534442,2024,True
CT-02,566436,2024,True
CT-03,544195,2024,True
CT-04,489886,2024,True
CT-05,528400,2024,True
CT-ZZ,0,2024,True
DE-00,764114,2024,True
