district_id,d_votes,r_votes
NY-16,208903,80140
NY-17,179409,151621
NY-18,151946,149315
NY-19,155513,161077
NY-20,180340,139716
NY-21,125044,175656
NY-22,157786,151125
NY-23,126048,212403
NY-24,120489,192254
NY-25,190547,141997
NY-26,178774,127893
OH-01,188237,173374
OH-02,91114,241519
OH-03,239177,101909
OH-04,103475,237194
OH-05,127150,218029
OH-06,134076,226601
OH-07,163047,207461
OH-08,130603,227466
OH-09,174123,177612
OH-10,166482,189189
OH-11,282881,65718
OH-12,115600,218596
OH-13,182322,174471
OH-14,154456,205894
OH-15,141421,175972
OK-01,97934,179882
OK-02,68868,219041
OK-03,65688,185731
OK-04,84987,187332
OK-05,102898,177150
OR-01,202099,93579
OR-02,101332,191223
OR-03,219816,77122
OR-04,171251,143081
OR-05,161179,151130
OR-06,146059,125501
PA-01,195145,192304
PA-02,218981,72242
PA-03,340349,30370
PA-04,215470,160938
PA-05,238704,128741
PA-06,188398,156470
PA-07,158299,167974
PA-08,147533,174353
PA-09,95528,229335
PA-10,149136,183645
PA-11,119068,206088
PA-12,225161,156160
PA-13,87351,247597
PA-14,117360,233694
PA-15,102928,228626
PA-16,132840,212617
PA-17,194193,190044
RI-01,129113,75152
RI-02,123412,105391
SC-01,117934,161727
SC-02,121631,175216
SC-03,86408,198581
SC-04,102316,171362
SC-05,114404,175665
SC-06,195406,98753
SC-07,117274,174085
SD-00,117442,227701
TN-01,55031,214628
TN-02,85258,186938
TN-03,86554,188416
TN-04,70070,175868
TN-05,111342,160588
TN-06,88476,176831
TN-07,99324,143476
TN-08,90042,211856
TN-09,184598,64324
TX-01,70209,206319
TX-02,79505,159143
TX-03,92154,162667
TX-04,80818,171923
TX-05,81979,151941
TX-06,73237,143595
TX-07,133905,69728
TX-08,72905,145384
TX-09,160230,41067
TX-10,89622,158886
TX-11,58948,151570
TX-12,86025,149773
TX-13,56429,187605
TX-14,89714,164915
TX-15,98387,74636
TX-16,134603,51691
TX-17,81546,150175
TX-18,143924,43218
TX-19,55570,170483
TX-20,128504,63410
TX-21,107813,197900
TX-22,91233,153033
TX-23,103691,113057
TX-24,114863,192164
TX-25,81351,183106
TX-26,82905,161960
TX-27,90129,142553
TX-28,111717,74446
TX-29,105270,33702
TX-30,175754,46841
TX-31,78529,152244
TX-32,127091,72264
TX-33,109962,33356
TX-34,109947,49832
TX-35,124314,46989
TX-36,79792,163624
TX-37,217081,74811
TX-38,98205,174845
UT-01,84371,129240
UT-02,83965,128129
UT-03,81090,143420
UT-04,61238,114419
VA-01,164305,220088
VA-02,159189,178996
VA-03,202532,97180
VA-04,226505,114368
VA-05,163704,207964
VA-06,119932,209550
VA-07,158991,151838
VA-08,264688,75658
VA-09,99291,250068
VA-10,174895,148591
VA-11,247441,115142
VT-00,178573,95369
WA-01,185817,104586
WA-02,190789,128479
WA-03,132410,156106
WA-04,89987,144688
WA-05,126571,172326
WA-06,179625,138179
WA-07,331173,43792
WA-08,160477,149580
WA-09,194241,70454
WA-10,151062,113176
WI-01,159127,168446
WI-02,260080,110840
WI-03,161653,177925
WI-04,242180,74948
WI-05,137785,249334
WI-06,141353,204978
WI-07,138560,214542
WI-08,140025,202412
WV-01,92958,247279
WV-02,95834,242092
WY-00,55973,174419
