district_id,d_votes,r_votes
AK-00,153778,189951
AL-01,115566,208116
AL-02,111264,205435
AL-03,102772,210797
AL-04,60733,262359
AL-05,123032,216584
AL-06,122189,228267
AL-07,214068,109612
AR-01,80516,197832
AR-02,140254,183964
AR-03,110479,180794
AR-04,92683,198057
AZ-01,231887,225013
AZ-02,183714,215659
AZ-03,170840,54754
AZ-04,201238,162975
AZ-05,171278,239646
AZ-06,214896,214580
AZ-07,194860,97580
AZ-08,171266,225761
AZ-09,132165,225719
CA-01,136550,203077
CA-02,310592,101570
CA-03,211790,219762
CA-04,250308,113844
CA-05,171424,220770
CA-06,192873,131468
CA-07,228897,102737
CA-08,244070,70550
CA-09,157640,121642
CA-10,280973,119815
CA-11,339795,46210
CA-12,328830,31734
CA-13,125261,100222
CA-14,239561,87626
CA-15,272883,71552
CA-16,288193,85593
CA-17,219542,76381
CA-18,190117,72029
CA-19,283245,119900
CA-20,127496,214492
CA-21,133827,87856
CA-22,103963,79681
CA-23,130953,160218
CA-24,240344,130117
CA-25,150324,109749
CA-26,222994,147422
CA-27,188108,145890
CA-28,242549,117111
CA-29,204924,63885
CA-30,273895,98576
CA-31,198028,102679
CA-32,271209,112044
CA-33,168266,99017
CA-34,205043,42309
CA-35,173588,97138
CA-36,299046,113323
CA-37,239814,34760
CA-38,217122,114836
CA-39,165291,95616
CA-40,212169,204203
CA-41,178995,182973
CA-42,207750,74998
CA-43,218764,46043
CA-44,213507,72413
CA-45,186196,164111
CA-46,162579,85483
CA-47,212948,169641
CA-48,167285,215540
CA-49,221230,174975
CA-50,262795,129606
CA-51,231182,130132
CA-52,205523,93111
CO-01,315904,72379
CO-02,306400,128491
CO-03,184181,218187
CO-04,174553,256585
CO-05,160880,198614
CO-06,232517,141195
CO-07,256166,190987
CO-08,173751,158170
CT-01,227830,126759
CT-02,214158,169366
CT-03,213122,142174
CT-04,230411,120230
CT-05,195160,156762
DE-00,296268,200603
FL-01,139194,275547
FL-02,180607,225757
FL-03,166687,222032
FL-04,184152,210911
FL-05,176903,244278
FL-06,160980,262018
FL-07,202049,226044
FL-08,186758,267849
FL-09,198451,139043
FL-10,218958,112414
FL-11,188273,234657
FL-12,150490,273483
FL-13,207951,238399
FL-14,231590,156409
FL-15,176040,187647
FL-16,184319,220728
FL-17,187427,259237
FL-18,133424,213235
FL-19,169589,260674
FL-20,252405,78222
FL-21,199069,240849
FL-22,229942,160705
FL-23,232548,177952
FL-24,245449,83302
FL-25,229439,152844
FL-26,126831,184088
FL-27,178067,179207
FL-28,159454,181199
GA-01,144314,189725
GA-02,173621,140787
GA-03,132438,248375
GA-04,278793,73295
GA-05,305738,59840
GA-06,174012,236094
GA-07,203070,118944
GA-08,117889,209159
GA-09,112848,253355
GA-10,142395,230837
GA-11,158591,217159
GA-12,151146,185743
GA-13,274153,66470
GA-14,104624,232070
HI-01,178660,96350
HI-02,187470,100514
IA-01,203400,215742
IA-02,203246,222312
IA-03,205591,207043
IA-04,146824,252575
ID-01,132085,302868
ID-02,154936,251251
IL-01,260631,103984
IL-02,231924,98000
IL-03,207342,84147
IL-04,175301,62731
IL-05,275679,117237
IL-06,216368,173185
IL-07,274896,41082
IL-08,189430,138017
IL-09,267524,108596
IL-10,220357,128416
IL-11,215328,157129
IL-12,106204,270198
IL-13,195393,155142
IL-14,191028,151016
IL-15,117057,270236
IL-16,152633,238789
IL-17,174821,148985
IN-01,181832,153364
IN-02,117687,187968
IN-03,111650,209890
IN-04,118417,219029
IN-05,151397,210212
IN-06,109391,215307
IN-07,213498,84813
IN-08,112346,225275
IN-09,126197,223661
KS-01,110422,206364
KS-02,130954,183352
KS-03,205621,187731
KS-04,123326,193958
KY-01,98100,248460
KY-02,108502,237998
KY-03,220429,138649
KY-04,122980,244777
KY-05,64435,258817
KY-06,158028,197944
LA-01,111741,258790
LA-02,260653,79318
LA-03,106759,239366
LA-04,130910,215850
LA-05,120707,224650
LA-06,125263,237802
MA-01,235190,150037
MA-02,254528,132546
MA-03,233536,131375
MA-04,263669,145121
MA-05,298842,94405
