CD,County,Biden,Trump,Total,Biden%,Trump%
,Marion (pt.),"1,172","3,604","4,840",24.21%,74.47%
,Morrow,"4,048","14,077","18,452",21.94%,76.29%
,Muskingum (pt.),"8,531","17,440","26,403",32.31%,66.06%
,Richland (pt.),"11,393","21,839","33,724",33.78%,64.76%
12 Total,,"206,386","232,901","446,172",46.26%,52.20%
13,Mahoning (pt.),"47,415","39,410","87,932",53.92%,44.82%
,Portage (pt.),"20,389","20,902","41,924",48.63%,49.86%
,Stark (pt.),"4,293","6,327","10,804",39.74%,58.57%
,Summit (pt.),"57,194","45,474","104,311",54.83%,43.59%
,Trumbull (pt.),"41,954","47,824","90,924",46.14%,52.60%
13 Total,,"171,245","159,938","335,896",50.98%,47.62%
14,Ashtabula,"16,497","26,890","44,142",37.37%,60.92%
,Cuyahoga (pt.),"37,378","28,977","66,998",55.79%,43.25%
,Geauga,"21,201","34,143","56,010",37.85%,60.96%
,Lake,"55,514","73,278","130,484",42.54%,56.16%
,Portage (pt.),"8,517","12,953","21,741",39.17%,59.58%
,Summit (pt.),"44,017","39,372","84,408",52.15%,46.64%
,Trumbull (pt.),"2,565","7,370","10,058",25.50%,73.27%
14 Total,,"185,689","222,983","413,841",44.87%,53.88%
15,Athens (pt.),"14,315","9,327","24,031",59.57%,38.81%
,Clinton,"4,697","15,488","20,522",22.89%,75.47%
,Fairfield,"31,224","50,797","83,277",37.49%,61.00%
,Fayette (pt.),366,"1,906","2,302",15.89%,82.80%
,Franklin (pt.),"87,414","67,278","157,195",55.61%,42.80%
,Hocking,"3,880","9,737","13,819",28.08%,70.46%
,Madison,"5,698","13,835","19,848",28.71%,69.70%
,Morgan,"1,725","5,041","6,847",25.19%,73.62%
,Perry,"4,098","12,357","16,672",24.58%,74.12%
,Pickaway,"7,304","20,593","28,257",25.85%,72.88%
,Ross (pt.),"4,046","10,907","15,151",26.71%,71.99%
,Vinton,"1,331","4,632","6,027",22.08%,76.85%
15 Total,,"166,098","221,898","393,949",42.16%,56.33%
16,Cuyahoga (pt.),"76,963","76,380","154,952",49.67%,49.29%
,Medina (pt.),"26,947","40,476","68,388",39.40%,59.19%
,Portage (pt.),"6,755","12,135","19,187",35.21%,63.25%
,Stark (pt.),"26,078","38,758","65,696",39.70%,59.00%
,Summit (pt.),"20,281","27,699","48,660",41.68%,56.92%
,Wayne,"16,660","36,759","54,257",30.71%,67.75%
16 Total,,"173,685","232,207","411,139",42.24%,56.48%
Grand Total,,"2,679,165","3,154,834","5,920,380",45.25%,53.29%
