CD,County,Biden,Trump,Total,Biden%,Trump%
AL,State of Alaska,"153,778","189,951","357,569",43.01%,53.12%
AL Total,,"153,778","189,951","357,569",43.01%,53.12%
Grand Total,,"153,778","189,951","357,569",43.01%,53.12%
