CD,County,Biden,Trump,Total,Biden%,Trump%
,Caswell,"4,860","7,089","12,040",40.37%,58.88%
,Chatham (pt.),"3,272","6,091","9,454",34.60%,64.42%
,Davidson,"22,636","64,658","88,373",25.61%,73.16%
,Davie,"6,713","18,228","25,239",26.60%,72.22%
,Iredell (pt.),598,964,"1,582",37.80%,60.91%
,Lee (pt.),"2,761","5,178","8,052",34.29%,64.31%
,Person,"8,465","13,184","21,871",38.70%,60.28%
,Randolph,"15,618","56,894","73,216",21.33%,77.71%
,Rowan,"23,114","49,297","73,241",31.56%,67.31%
13 Total,,"126,861","267,639","399,010",31.79%,67.08%
Grand Total,,"2,684,243","2,758,777","5,512,001",48.70%,50.05%
