CD,County,Biden,Trump,Total,Biden%,Trump%
9 Total,,"229,258","175,081","410,103",55.90%,42.69%
10,Huron,"5,490","12,731","18,437",29.78%,69.05%
,Lapeer,"16,367","35,486","52,644",31.09%,67.41%
,Macomb (pt.),"81,935","136,574","221,125",37.05%,61.76%
,Sanilac,"5,966","16,190","22,442",26.58%,72.14%
,St. Clair,"31,363","59,191","92,069",34.06%,64.29%
,Tuscola (pt.),"5,766","13,705","19,751",29.19%,69.39%
10 Total,,"146,887","273,877","426,468",34.44%,64.22%
11,Oakland (pt.),"144,985","142,363","291,367",49.76%,48.86%
,Wayne (pt.),"92,711","74,436","169,376",54.74%,43.95%
11 Total,,"237,696","216,799","460,743",51.59%,47.05%
12,Washtenaw (pt.),"121,424","26,180","149,483",81.23%,17.51%
,Wayne (pt.),"130,346","108,712","242,596",53.73%,44.81%
12 Total,,"251,770","134,892","392,079",64.21%,34.40%
13,Wayne (pt.),"229,535","58,162","291,132",78.84%,19.98%
13 Total,,"229,535","58,162","291,132",78.84%,19.98%
14,Oakland (pt.),"132,269","44,788","178,766",73.99%,25.05%
,Wayne (pt.),"144,578","23,243","169,279",85.41%,13.73%
14 Total,,"276,847","68,031","348,045",79.54%,19.55%
Grand Total,,"2,801,469","2,649,234","5,534,978",50.61%,47.86%
