CD,County,Biden,Trump,Total,Biden%,Trump%
,Tazewell (pt.),"7,908","11,797","20,193",39.16%,58.42%
,Warren,"3,090","4,676","7,909",39.07%,59.12%
,Whiteside,"12,253","14,527","27,375",44.76%,53.07%
,Winnebago (pt.),"18,792","11,423","30,846",60.92%,37.03%
17 Total,,"145,977","150,775","303,222",48.14%,49.72%
18,Adams,"8,633","24,220","33,527",25.75%,72.24%
,Brown,486,"1,931","2,521",19.28%,76.60%
,Cass,"1,615","3,625","5,317",30.37%,68.18%
,Hancock,"2,315","6,906","9,383",24.67%,73.60%
,Logan,"3,840","9,136","13,294",28.89%,68.72%
,Marshall,"2,005","4,197","6,334",31.65%,66.26%
,Mason,"1,985","4,654","6,766",29.34%,68.79%
,McDonough,"4,992","7,027","12,285",40.63%,57.20%
,McLean (pt.),"29,642","31,538","62,890",47.13%,50.15%
,Menard,"2,022","4,764","6,928",29.19%,68.76%
,Morgan,"5,076","9,950","15,309",33.16%,64.99%
,Peoria (pt.),"24,716","28,283","54,387",45.44%,52.00%
,Pike,"1,484","6,332","7,949",18.67%,79.66%
,Sangamon (pt.),"24,371","35,208","60,853",40.05%,57.86%
,Schuyler,"1,068","2,773","3,906",27.34%,70.99%
,Scott,572,"2,114","2,737",20.90%,77.24%
,Stark (pt.),633,"1,531","2,213",28.58%,69.17%
,Tazewell (pt.),"16,911","30,716","48,858",34.61%,62.87%
,Woodford,"6,160","14,799","21,432",28.74%,69.05%
18 Total,,"138,526","229,704","376,890",36.75%,60.95%
Grand Total,,"3,471,915","2,446,891","6,033,438",57.54%,40.56%
