CD,County,Biden,Trump,Total,Biden%,Trump%
,Warrick,"11,923","21,326","33,806",35.27%,63.08%
8 Total,,"108,025","212,185","326,153",33.12%,65.06%
9,Brown,"3,036","5,777","8,981",33.80%,64.32%
,Clark,"23,093","33,668","57,869",39.91%,58.18%
,Crawford (pt.),"1,157","2,886","4,135",27.98%,69.80%
,Floyd,"17,511","23,400","41,761",41.93%,56.03%
,Harrison,"5,343","14,565","20,231",26.41%,71.99%
,Jackson,"4,302","14,555","19,238",22.36%,75.66%
,Johnson,"24,736","51,219","77,573",31.89%,66.03%
,Lawrence,"4,961","15,601","21,025",23.60%,74.20%
,Monroe,"39,861","22,071","63,037",63.23%,35.01%
,Morgan (pt.),"5,063","18,518","24,159",20.96%,76.65%
,Orange,"2,224","6,432","8,830",25.19%,72.84%
,Scott (pt.),"1,515","3,710","5,309",28.54%,69.88%
,Washington,"2,784","9,114","12,131",22.95%,75.13%
9 Total,,"135,586","221,516","364,279",37.22%,60.81%
Grand Total,,"1,242,416","1,729,519","3,031,167",40.99%,57.06%
